"";"X17753";"X17754";"X17755";"X17756";"X17757";"X17758";"X17760";"X17761";"X17762";"X17763";"X17764";"X17765";"X17766";"X17767";"X17768";"X17769";"X17770";"X17771";"X17772";"X17773";"X17774";"X17775";"X17776";"X17777";"X17778"
"7A5";"9.766968";"9.666995";"1.004055";"8.560078";"9.344478";"8.589824";"6.607605";"7.701704";"7.910773";"7.321273";"8.603043";"8.868296";"1.744008";"0.157038";"1.734112";"0.146621";"1.883414";"0.131897";"1.620369";"1.836357";"1.554529";"1.847602";"1.479543";"1.251005";"1.298709"
"A1BG";"1.309171";"1.152724";"1.500554";"1.450026";"1.170383";"1.159771";"1.076636";"1.109086";"1.271073";"9.898669";"1.313828";"1.278976";"1.931604";"2.340392";"1.713949";"2.163727";"2.309929";"1.674028";"1.885512";"1.840619";"1.691844";"1.720178";"1.815907";"1.740687";"1.229581"
"A2BP1";"8.263654";"8.709568";"7.967667";"7.935041";"7.514523";"8.360615";"0.596168";"7.673663";"7.377245";"6.980565";"7.406866";"7.680927";"1.289416";"1.365178";"1.039396";"1.268887";"1.191114";"1.092006";"0.119681";"1.054291";"1.229261";"1.122277";"1.133549";"0.131166";"9.429234"
"A2ML1";"8.752652";"8.304543";"8.732995";"0.760854";"6.945008";"8.381059";"7.109826";"7.949344";"8.247677";"0.704692";"1.038085";"7.939915";"1.454543";"1.391501";"1.298557";"1.343015";"1.294037";"1.086292";"1.227164";"0.133236";"2.785309";"1.172177";"1.254738";"1.102188";"9.644387"
"A4GALT";"2.185231";"2.401477";"4.926333";"2.196405";"3.189359";"2.235081";"0.178201";"2.211423";"1.618887";"0.203855";"4.851298";"3.758168";"2.939912";"7.421235";"2.315673";"0";"4.130486";"1.476421";"8.638638";"6.431138";"3.064849";"4.982138";"2.595536";"2.390201";"3.795479"
"A4GNT";"1.077675";"1.154283";"1.136798";"1.011064";"1.286808";"1.244999";"8.292784";"1.048026";"8.831085";"8.488901";"1.040382";"1.107863";"0.190109";"1.982544";"1.434021";"1.603857";"1.950596";"1.414085";"1.492513";"1.610399";"1.568272";"0.165654";"1.759555";"1.291287";"1.337711"
"AAAS";"2.080114";"2.555674";"1.702452";"1.883255";"0.241179";"2.177322";"1.649483";"3.051235";"2.003078";"1.540389";"2.489855";"2.675755";"3.248152";"4.168209";"2.901013";"3.376155";"3.989814";"2.036806";"2.913672";"2.648969";"2.984483";"2.977354";"3.394648";"2.148587";"1.824539"
"AACS";"6.793041";"5.406069";"6.863837";"5.603128";"7.148517";"7.149135";"5.124474";"1.069827";"1.126573";"4.977149";"6.783915";"5.727601";"9.943204";"1.051523";"8.216338";"4.186375";"1.447685";"3.892471";"0";"9.444034";"1.802054";"9.117461";"1.767848";"7.246056";"5.018887"
"AADAC";"1.038236";"1.918583";"1.732901";"1.709382";"2.616795";"2.255255";"8.995173";"1.267236";"1.705768";"1.164704";"9.526947";"1.324661";"4.106611";"2.329844";"2.341147";"1.764437";"2.060727";"1.280533";"5.061425";"2.709053";"1.667639";"1.413017";"2.266267";"2.512026";"3.459047"
"AADACL2";"8.978387";"8.772607";"0.865786";"7.687119";"7.797081";"0.761811";"0.723492";"7.434976";"8.210152";"7.856126";"9.335744";"9.605302";"1.448736";"1.251452";"1.182893";"1.420938";"1.434223";"1.119571";"1.401652";"1.348583";"1.204358";"1.145294";"0";"1.075677";"0.107594"
