"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","s41","s42","s43","s44","s45","s46","s47","s48","s49","s50","Class"
"expression19",5.63733851961554,1.57317069307164,2.09360473812714,0.0652976266472109,0.377055032355752,1.18221099244652,8.89764643108312,1.27090097117679,0.315162490415847,2.27805401091473,1.78473433632415,0.248613357356538,3.79430246177555,2.57848169620689,0.348688304465479,3.32296741245161,0.014871075877978,1.86625403083302,1.9185060761371,1.43013943620229,1.36353030451931,2.04970570362637,2.69734845298144,4.34191911735209,2.08094642375718,0.450718191955597,1.70515905588355,0.240444178588012,1.96805815825017,6.96919669938514,2.17031784030564,0.770974713835784,1.51342557648939,1.85756780039541,3.12529851670679,2.90453894031387,0.697016919582272,2.5286870881551,1.02260047950851,2.14651541132873,1.36676338654935,1.37119422690308,2.13760906217427,1.17580830781927,0.70924244298838,0.862611937801024,1.39223622197355,3.98887031335774,1.97624599011631,0.26477092337431,"L"
"expression23",5.34364207765722,0.952263749671475,0.324224829039401,2.298416132107,0.304131829071311,1.76126135604528,8.35102534745793,3.32120097619858,1.54461371682753,2.17191887330411,2.45996876437373,1.06790329622292,0.0920638678659365,1.2227372838007,3.06355169745115,0.236686711910753,2.75611943142249,1.7040807027807,3.15926662791447,1.4579267269002,2.74916568287169,3.15097710153944,5.39253686230778,6.13156810660548,2.9360433672197,0.821228342454104,0.510968223962966,1.47884908820005,1.15784267879758,7.73173387189952,3.35932770345886,2.80263170358556,1.02907241907276,1.65316937786854,4.62792253958287,2.42493907009301,1.07514405012696,2.71899149728941,0.667667736446786,0.575438916564233,0.364369649952923,1.05676455641055,2.40595971813475,2.82945944794761,1.83750487078686,1.44602844756382,1.13423673566045,2.49060620432494,0.706878968936568,1.49448599630333,"L"
"expression22",5.32273714165423,1.47897422443615,0.473636858117903,0.835741681970991,0.128601151157315,1.42843875094046,8.70372883914817,2.09912714853774,0.730433733153504,2.05909583404165,1.7072861709946,2.31749536652087,1.30699763521863,0.0995581259431257,1.6530683237835,1.47236864378141,3.30308154755169,1.69454901843328,3.486824618102,1.72388532612989,3.86871014404317,3.06478868178016,3.58938362352635,6.97156474972537,2.15507211860516,1.31067208129683,0.929282227385687,1.16965437434133,0.48002198595688,5.8438071338575,2.37137038557637,2.42255893858394,1.15672735728861,2.78633255438736,3.02213312993335,0.966836255208549,1.70625391985199,1.74821093062145,0.871195856707937,1.26831999838903,1.91074023876761,2.27516040473008,2.04471377921169,2.38674919683235,2.76399834661372,1.41140122139502,0.973798930784498,2.10673940667533,0.668436944073567,0.283816933147919,"L"
"expression144",2.98068738779776,2.731379631681,4.41411272146374,2.85576143203907,0.337018560900419,2.58428240276285,1.32541111594942,1.040019702608,2.02474642904645,2.96093894348885,2.85896923173773,1.47224944587869,2.51897732447363,2.60109749689008,3.86061689550279,6.2824710165788,2.04034546815479,6.3751377179499,2.32775675984583,8.76263678251769,2.2854229451055,1.90654041644365,3.18546611968519,6.77523687246654,1.37546272161222,0.728162992936658,1.83693697982093,2.48811167552412,6.09093735048586,2.7891108718339,4.09413247080878,3.42422933415076,0.381503368592391,2.12018475907735,1.41047879820584,2.51540472939485,2.17658282615456,2.55558359138821,3.74905470032461,2.84157294886603,5.7244937134206,0.680122707749205,2.08814106627499,4.48972935216105,1.05825096374809,0.706715306781754,5.9634924990625,1.96121843774409,0.366876608020692,1.68562395511067,"L"
"expression180",3.79367184579256,2.2143621617865,2.78439218308515,2.11600550060759,0.056517265922118,1.16915558716588,1.04241313074276,1.47535968096693,1.72286235714597,3.71267534326432,2.76177203874468,3.64040699404183,1.58431253122799,0.731944892107417,3.25826418846355,3.39746786205939,4.47126711092939,3.55717656648451,2.65935520157064,9.70751581567852,1.18487582870957,0.450978018857908,2.31051323189901,9.94181257368905,1.73405511301629,1.3487853298068,0.742583545477031,2.28516456380037,7.70823932182552,2.582404632052,4.92150449870305,2.50880764761612,0.63534785375161,1.53631751054824,1.70120331285299,0.385695562665849,1.93369795362191,2.87581330458821,3.67224169265205,3.19575009054936,4.79042765051419,0.124867254041439,0.924202649328998,2.04929488738681,1.41054142352479,2.08420775439241,5.64624049970065,3.60226247161564,0.753839167486755,3.5698328852193,"L"
"expression107",0.749221484406645,2.53380654543935,4.76896987611556,2.68503103577628,0.595238840264527,1.69753366209994,1.50396601849859,1.13282459879279,2.39718328786304,5.15071422451304,1.87793248443846,2.00830017656,2.01032858300991,0.453906691408906,4.08528078746159,4.15973981507987,4.67766402837692,3.369861366049,2.64396553046828,8.53824284281646,2.35679092123773,1.55605169495554,3.16038595427076,8.04642113260602,1.60782587859124,0.34284529000201,0.716922183678035,0.851349986664154,8.9196946165278,2.25293087401291,5.23043415739143,3.26500601506605,0.646978750846318,0.791366903165628,1.75307624261479,2.68999800161238,1.31378982258087,2.18308952809075,4.66725923324407,3.12264553835166,4.38036114499126,2.15383874846518,1.64595232780886,2.44823308365875,1.11696000784941,2.07644563550614,4.70901037903163,1.86938197017962,2.28891252988986,4.03922846060154,"L"
"expression171",3.63560924199987,2.38303063852024,2.1313228282825,2.68802893339116,0.629403462679991,1.81892296625721,1.0389833955679,1.35875020616541,1.07086839883065,4.63257812663783,1.9816448410583,2.76652478744568,3.22301314887861,1.3366278732771,3.47783214541766,4.8504180671281,3.83759756392925,5.65609269096379,4.45569413704274,8.09209386464204,1.44600322801017,2.69244697809366,2.4858640935473,10.2743183237076,2.42191420026595,0.162822745858612,1.21742383602342,0.916355201631884,7.97913003781715,1.71289272373706,5.55026038400814,2.77161402975078,1.3324699167881,2.47502499812317,3.24798794459285,1.21208001711179,2.76753486262499,3.41474224326029,2.32739701064772,3.84863403127618,4.69898725331835,2.9001165452909,1.54543127049352,2.80953794945609,2.10105560643394,2.78928311280429,6.56995633723114,0.478247106055196,1.88156826381599,1.71894956668716,"L"
"expression245",3.4464800153244,3.97216351822335,2.51610821482105,6.68730859918635,8.44523369053525,1.8630940071558,5.59344824070696,3.03197260836396,3.96636063328407,8.51657901352015,3.73295839683367,5.16632802920146,1.76339085375978,3.05621911352347,2.49062547070182,2.20394595230654,3.56755238899502,1.75390643127701,1.6132907888129,4.73073182593703,3.25515594700331,8.94380238263645,3.78615844919832,3.22948569429724,4.17479042965935,4.3263301523995,6.39390537180915,3.21799391265261,5.30564119706721,7.13148682657229,2.86555255315627,3.55609258118294,3.78638197521169,5.78355722635782,5.47134527121178,5.96916420624897,3.05946724242928,1.37311700831273,6.32692723851791,3.82808649160803,3.17855495870819,3.15921610500482,3.37759725062744,1.3199655721957,3.65114261243336,4.57789870286689,6.51187935545141,3.86938401564432,5.26680635080373,3.86824594950743,"L"
"expression224",2.84102853211961,6.19776233604105,1.92953837680659,6.94884836265927,5.27699153819364,1.56124166753389,6.21383499472898,5.63104526094147,4.17481639898781,8.46577144175322,3.38052710007938,3.88573021043639,3.97787631128281,4.42939401966097,4.53561864469849,2.97496202483451,4.27057966419899,4.19086544309288,2.30572287864635,4.19401570233485,3.59884174335311,5.69214426679986,4.26460266051804,3.01697479457984,5.49223491846477,5.6454779238262,7.47581930867271,3.92569286470981,4.69200034484471,5.24898225692439,2.4544111989067,2.36868077240116,2.47895380732269,6.23939277705326,6.92313295678228,6.33235352455298,3.76273688154625,3.02862183772378,5.17900482669279,4.76933855850076,6.0778387810001,1.44768174045986,4.85558027685713,3.09609563128577,2.84909684962749,5.33592913825196,5.76555450648214,3.6774397704758,4.0811952981793,6.3784831221595,"L"
"expression261",3.35701892075163,5.59301743902417,3.74927699656124,7.12218130813729,7.08651735052328,1.09173716662213,6.82022576605256,2.79591757418482,1.29697468885581,7.53589783669968,3.04835640272625,4.50962136315096,2.6890425331789,5.0597239802632,3.02601207494138,4.0714776487544,2.21141388458539,2.45503506342772,3.13071988521918,5.13385384874497,3.18662283633577,7.67773901013853,3.88155368906543,2.4368157282546,4.88787464205975,2.94900695344945,5.16218015053006,2.56269836160465,5.63282753609244,5.6902713287997,4.63221661638337,4.90594860243731,3.63001357602699,4.66033915212954,6.16467065217438,4.60208890221162,2.5495798065841,2.89215860716578,6.7022192579205,4.00593578615543,1.76460536173829,2.06468534212843,3.73926405605625,0.540971217444369,2.04074169516249,3.21279021191752,4.36129275082412,4.13336873466946,5.63176600303708,6.28001894624298,"L"
