"";"CACO2";"CO115";"COLO201";"COLO205";"COLO320";"DLD1";"HCC2998";"HCT116";"HCT15";"HT29";"IS1";"IS2";"KM12";"LIM1215";"LIM2405";"LOVO";"LS174T";"RKO";"RW2982";"RW7213";"SKCO1";"SW1116";"SW403";"SW48";"SW620";"SW837";"SW948";"T84";"TC71";"VACO5"
"A1BG";5,041240177;5,41487813;5,285010303;5,167130039;5,694828647;5,213176449;5,086699604;5,065643631;4,995938749;5,123176095;5,011886083;4,885008145;5,107410708;5,113635934;4,986922212;4,988410133;4,7599944;5,166496773;5,051067147;5,129616278;5,362472672;5,075330514;5,065563204;5,203603343;5,01273125;5,12115749;5,210028492;4,956067692;5,063208951;5,067648185
"A2M";4,144002667;4,321001991;4,471891325;4,397692882;3,913529026;4,12856155;4,260824788;4,491203956;4,323757261;4,164534791;4,333524139;4,245368255;4,305717471;4,665612807;4,231734873;4,611197733;4,786287306;4,151133444;4,774454086;4,362232316;4,255667592;4,51087239;4,301251982;4,117154681;3,983599457;4,575225632;4,716838324;4,137132722;4,128890742;4,198512481
"A2ML1";3,646552236;3,798714869;3,79775331;3,696104071;3,430831782;3,578253726;3,592015182;3,753076712;3,79085951;3,62177027;3,564443691;4,123453975;6,295682384;3,713670803;3,850811868;7,24868554;3,581278712;3,843127357;3,574780876;3,515089846;3,950671895;3,666495593;3,654511815;3,680894069;3,659690121;4,167296859;3,54253961;3,660473424;3,807278326;3,820867482
"A4GALT";6,625325857;6,453632948;6,676481273;6,529219645;5,902923615;6,120416363;7,089974655;6,725970692;6,323739235;7,117464901;7,656684024;6,241199322;6,708988204;6,480518425;6,514601583;7,410767003;6,325572413;6,496368137;6,435412341;7,250660621;6,192655411;6,427267421;6,622091011;6,610928888;6,22753328;7,361488678;6,589705744;6,516173574;6,378788655;6,44438533
"A4GNT";4,275473853;4,415861653;4,249083698;4,234241119;4,082114677;4,20491115;4,223777134;4,424515462;4,193082379;4,190514288;4,336456263;4,113482139;4,339198043;4,38907115;4,260173519;4,394794063;4,115338322;4,228485433;4,389569106;4,258064696;4,206943942;4,2582823;4,484841614;4,110611897;4,250910002;4,259438527;4,452632238;4,370541362;4,068860122;4,283324145
"AAAS";7,376011351;7,385883893;7,201526829;7,265316254;7,982816643;7,079812784;7,201889102;7,233824112;7,533686254;7,170632508;7,053206686;7,053406176;7,39649913;7,331400716;7,167344656;7,599534732;7,344204709;7,1519341;7,506175028;7,299653433;7,548809425;7,140153091;7,251142776;6,924991449;7,82874676;7,606567928;7,281737177;7,360048922;7,609521199;7,233585082
"AACS";8,37454116;8,066372617;9,278504822;10,43683779;8,627466506;8,846668018;8,190654618;7,770097657;8,609153974;8,97765669;8,927601614;8,954651097;9,381621035;8,708241126;8,671873628;8,16181592;8,40965811;8,450628121;8,778727401;8,963169495;8,667959688;8,316608904;8,945299577;8,146378027;8,453078852;8,314015261;8,842560724;8,665436729;8,982752977;8,042491655
"AADAC";4,489454727;7,501177817;4,161730101;4,208398858;4,37341705;4,406435174;4,65088301;5,452593624;4,280407092;6,693816904;4,15279474;4,359612077;4,596968438;4,538495592;4,295449274;4,517895818;4,5415464;4,321416671;4,574703178;5,153905528;4,526016646;5,148875754;4,841448101;4,773881584;4,481603335;4,1689336;4,277117161;4,824029389;4,086904045;5,836258077
"AADACL2";3,243791143;3,215647773;3,144181658;3,148012746;3,089935217;3,236088088;3,159000209;3,104995258;3,104592449;3,222810741;3,120651473;3,118401149;3,126740747;3,153852601;3,241536816;3,117034732;3,263048538;3,183705497;3,021522077;3,212636012;3,228861787;3,147413835;3,219692533;2,94280524;3,327999108;3,105226723;3,261247428;3,093489432;3,075101506;3,141521896
"AADAT";6,821096482;5,071291923;6,936290727;6,918764023;8,334294371;7,42415337;7,946735472;7,488651118;7,482252179;6,012140184;7,630259729;7,655065151;6,992476421;7,306980019;8,140720627;7,096030503;7,040365132;8,590929159;7,546388181;5,832685926;7,48034041;6,170652439;6,304472422;6,395729506;7,747951343;7,476195063;6,446820237;7,036546164;5,149571674;8,485474674
