CACO2	COLO201
A1BG	5.041240177	5.285010303
A2M	4.144002667	4.471891325
A2ML1	3.646552236	3.79775331
A4GALT	6.625325857	6.676481273
AAAS	7.376011351	7.201526829
AACS	8.37454116	9.278504822
AADAC	4.489454727	4.161730101
AADAT	6.821096482	6.936290727
AAK1	9.125666745	8.222651717
AAMP	9.176961686	8.968108202
AANAT	4.01199401	4.051814652
AARS	10.8645079	9.968443022
AARSD1	3.551341177	4.050585314
AASDH	6.553380156	6.825972086
AASS	4.703434535	3.712327189
AATF	9.619824027	10.23358753
AATK	7.50422268	6.914465249
ABAT	9.22980606	6.597972131
ABCA1	5.491057429	5.362882447
ABCA2	5.237844792	5.429914811
ABCA3	7.410667868	5.708809893
ABCA4	4.963990425	4.988079896
ABCA5	5.651115712	6.195606764
ABCA7	7.851524351	6.916782483
ABCA9	3.813255216	3.883557459
ABCB1	8.513266473	4.288978236
ABCB10	8.835958256	7.765013033
ABCB11	4.083791496	4.049922967
ABCB4	4.39203922	4.162977858
ABCB6	8.155271339	7.005992097
ABCB7	8.390667563	8.540366078
ABCB8	5.907685943	6.659239873
ABCB9	5.044808966	6.378091804
ABCC1	6.561627208	8.023222156
ABCC10	8.095945922	8.265206044
ABCC11	5.059666713	5.087293385
ABCC13	4.10592459	4.19422674
ABCC2	8.31506666	7.00740788
ABCC3	7.138900351	9.880443891
ABCC4	9.424103917	8.477370623
ABCC5	6.451124937	5.753031436
ABCC6	7.721007452	6.277333911
ABCC8	5.439938127	5.621854682
ABCC9	6.679502243	3.627445082
ABCD1	5.803087339	6.777359029
ABCD3	7.14246593	8.792035363
ABCD4	7.33857468	7.454934308
ABCE1	9.596956904	9.244305587
ABCF1	9.212742757	9.156820327
ABCF2	7.81383118	7.17331242
ABCF3	7.764368005	7.515209341
ABCG1	3.392951845	7.846485708
ABCG2	9.235327789	4.523954368
ABCG4	4.92481428	5.185790727
ABCG5	3.869954377	3.706852749
ABHD1	3.983272616	4.246773728
ABHD10	7.81461386	7.495408322
ABHD11	7.979221347	9.254595193
ABHD14A	7.304999162	7.755752001
ABHD2	7.642446525	10.50334136
ABHD4	8.256020729	7.904486937
ABHD5	5.279654518	5.320460919
ABHD6	5.217233757	4.040410378
ABHD8	5.280596439	5.070533736
ABI1	9.319498626	7.821657932
ABI2	6.95192791	6.388517338
ABL1	8.344601211	8.563385311
ABL2	7.031737797	6.358007248
ABLIM1	9.704273803	10.58738824
ABLIM3	5.091138514	7.0059385
ABO	4.254754849	4.924831198
ABR	7.422630979	9.08754325
ABT1	7.687347592	8.517234566
ABTB1	5.661303864	6.173503446
ABTB2	7.322373086	7.817998147
ACAA1	9.577869906	9.538080738
ACAA2	10.28259019	9.205386449
ACACA	7.275156411	7.193782957
ACAD8	8.144431151	6.935039934
ACAD9	8.316622175	8.589903551
ACADM	8.753452721	9.518277768
ACADS	6.722925175	6.929627054
ACADSB	6.863115388	6.183128069
ACADVL	8.532742498	10.14509931
ACAT1	10.93594356	9.638959386
ACAT2	9.8679323	8.554838704
ACBD3	7.744587504	7.935935205
ACBD5	6.853879188	6.067393868
ACBD6	9.092488585	9.278575099
ACD	7.981111999	7.887341774
ACE	4.920244613	5.708110463
ACE2	4.227739565	3.515678312
ACHE	4.735931671	4.310471407
ACIN1	7.674098489	7.755223816
ACLY	8.96073616	7.796709528
ACMSD	3.307416523	4.956349472
ACO1	9.003677558	8.682946783
ACOT11	6.306240755	7.215519013
ACOT4	4.656401888	8.005880841
ACOT7	8.657041835	8.338541081
ACOT8	6.881408163	5.91737988
ACOX1	7.941931104	8.97460281
ACOX2	5.511082271	4.479718425
ACOX3	6.422432671	6.543935735
