"";"CACO2";"CO115";"COLO201";"COLO205";"COLO320";"DLD1";"HCC2998";"HCT116";"HCT15";"HT29";"IS1";"IS2";"KM12";"LIM1215";"LIM2405";"LOVO";"LS174T";"RKO";"RW2982";"RW7213";"SKCO1";"SW1116";"SW403";"SW48";"SW620";"SW837";"SW948";"T84";"TC71";"VACO5"
"A1BG";0,9413925;0,9497842;0,8219918;0,9570857;0,9218522;0,9474397;0,9077209;0,9587185;0,9528625;0,945703;0,9608082;0,9474631;0,9340423;0,9648027;0,956597;0,6082181;0,9548507;0,9563716;0,9350902;0,8901435;0,9525078;0,9216381;0,8810399;0,96339755;0,8890047;0,9280297;0,9611002;0,6865644;0,9537167;0,9008961
"A2M";0,67;0,6955635;0,3248503;0,3122498;0,7350292;0,6168795;0,7295597;0,702514;0,7480219;0,4616883;0,7106344;0,122315;0,6239092;0,1593241;0,7106339;0,1680756;0,1931487;0,6358234;0,406326;0,7304177;0,07839563;0,1147022;0,3451464;0,6792502;0,7160494;0,6627635;0,4860798;0,1256649;0,7315542;0,7088816
"A2ML1";0,7303521;0,6482459;0,195709925;0,085648865;0,70710425;0,4942071;0,4307496;0,80504655;0,6782703;0,264942975;0,77271885;0,130278925;0,077413485;0,27752846;0,74221185;0,28562345;0,040322485;0,6312294;0,4704585;0,073067795;0,05138928;0,168236535;0,33633888;0,234120675;0,5039962;0,123662275;0,2192008;0,042483845;0,6388858;0,1111054
"A4GALT";0,31378585;0,8838415;0,5365987;0,4173888;0,36181075;0,80717395;0,54966205;0,33430625;0,68939895;0,0903866;0,23082682;0,55600075;0,52664325;0,349705;0,11983631;0,54119085;0,4426902;0,84312575;0,53316925;0,219047245;0,49162955;0,14291353;0,448413635;0,8825927;0,5199685;0,24839168;0,280676315;0,4389228;0,7477184;0,85175755
"A4GNT";0,66317845;0,8039056;0,4676424;0,4934532;0,7596694;0,8118388;0,7248095;0,8537579;0,82875885;0,3418933;0,66932455;0,33162945;0,59742705;0,7595099;0,8070753;0,5404329;0,07420155;0,82909;0,59763935;0,5335892;0,5624329;0,24323866;0,33212055;0,837449625;0,6973449;0,63075575;0,252389705;0,28134687;0,87529665;0,81563685
"AAAS";0,09613548;0,079023545;0,071000455;0,060942295;0,05398718;0,09963093;0,04593464;0,0644789;0,04692479;0,06321131;0,07791779;0,065460455;0,10777229;0,08313653;0,06734315;0,062349195;0,047836335;0,066187595;0,06376374;0,054752495;0,068326815;0,04592631;0,111431655;0,0532593725;0,080198935;0,04058828;0,061054265;0,03513924;0,04451465;0,05038108
"AACS";0,18309606;0,3953012;0,06095005;0,138762195;0,06919859;0,20686275;0,071972;0,1132317;0,086847075;0,04682407;0,08058464;0,06197005;0,12270845;0,06823232;0,058427905;0,17112091;0,039821465;0,12563757;0,05113394;0,04125256;0,213458115;0,041313485;0,0703733;0,0651187;0,05581239;0,05982787;0,06311899;0,04169559;0,41297572;0,278127405
"AADAC";0,8698875;0,9021937;0,672549;0,8143939;0,717782;0,828788;0,8456543;0,9216164;0,8555784;0,8770584;0,6714262;0,4627413;0,881926;0,8817772;0,8827323;0,5533879;0,6551159;0,8842052;0,7555781;0,839835;0,7264013;0,7473745;0,5952503;0,88056895;0,8574359;0,6762733;0,8534466;0,8475533;0,9168921;0,8500289
"AADACL2";0,5063722;0,533101;0,2448211;0,3536512;0,6412053;0,5414438;0,6311713;0,6638442;0,5035087;0,7875648;0,3285478;0,1589256;0,5486173;0,7322485;0,6686217;0,2036385;0,4190476;0,259;0,5323911;0,6849817;0,7025194;0,5812842;0,7054441;0,6645054;0,6280822;0,1715439;0,6014388;0,08963586;0,7660688;0,7435719
"AADAT";0,048615545;0,7702535;0,03251909;0,030527665;0,023392185;0,045837005;0,028609915;0,027366895;0,02077463;0,039240975;0,04759508;0,03032001;0,084617395;0,03300444;0,039778795;0,028833195;0,05086275;0,024820755;0,025292095;0,021571315;0,02442591;0,030733075;0,045366525;0,0446867625;0,024868835;0,02764299;0,032489155;0,0214588;0,8672105;0,024938015
"AAK1";0,05029962;0,048183;0,03730354;0,03291651;0,02728447;0,0504494;0,03648952;0,04913121;0,04529183;0,0288495;0,06618845;0,03093076;0,05768954;0,03624461;0,03950233;0,05369863;0,02351849;0,02841102;0,03201332;0,0295858;0,04987947;0,02462121;0,04027702;0,0297263;0,04129793;0,0371134;0,02591854;0,01977535;0,5713695;0,02607616
"AAMP";0,04200184;0,05471598;0,03457241;0,021838485;0,0255829;0,0385511;0,03894759;0,03280112;0,02462165;0,036936315;0,042289595;0,03221014;0,037526295;0,029314115;0,032800015;0,03429938;0,02409158;0,03349547;0,025469095;0,0283855;0,028021235;0,025626295;0,03930541;0,02564612;0,03359094;0,0292272;0,030133635;0,02254595;0,053290105;0,023005705
"AANAT";0,86033885;0,9133264;0,59830065;0,9071564;0,7674199;0,8733448;0,7094198;0,91426675;0,90894395;0,7835928;0,8196725;0,53315725;0,8009078;0,5987418;0,64845175;0,52824355;0,4899104;0,84579755;0,84849685;0,8431474;0,87899215;0,70465905;0,7516006;0,9144038;0,68342655;0,88222425;0,6230752;0,53648935;0,9269947;0,74390815
"AARS";0,057852985;0,06311472;0,056984575;0,04688743;0,030548085;0,08084565;0,044110705;0,05760771;0,040902725;0,06286645;0,09343803;0,066511385;0,07770091;0,07719062;0,047560935;0,04672618;0,03621677;0,053268225;0,07246139;0,03888344;0,040792175;0,04665135;0,06113871;0,0577330975;0,03144754;0,04646716;0,066672065;0,034797575;0,03764712;0,044088215
"AARSD1";0,471030675;0,478384425;0,24746894;0,451996135;0,3402455;0,477277775;0,163398465;0,46578474;0,438278015;0,4380794;0,343380195;0,040139395;0,47906026;0,430035685;0,30315522;0,45217159;0,27029444;0,467576675;0,07808693;0,06044255;0,47042517;0,20108332;0,15708384;0,4708557825;0,224978435;0,37473256;0,121186525;0,339787065;0,483364085;0,33049216
"AASDH";0,042486525;0,03115953;0,02656155;0,021915965;0,01476351;0,03756513;0,02083157;0,01699845;0,010336571;0,027068395;0,02443797;0,05062703;0,02825099;0,02449097;0,02186677;0,028963565;0,0150444;0,03147845;0,023424055;0,0112098155;0,02356975;0,017585105;0,04146938;0,01343615175;0,01694478;0,019459915;0,0257118;0,010656125;0,01855422;0,01743251
"AASS";0,7628095;0,5151818;0,8488372;0,80413;0,8391225;0,7852284;0,8276538;0,8430639;0,8572806;0,688172;0,7792208;0,6881581;0,7986615;0,8370762;0,8222356;0,815185;0,8242936;0,8563205;0,7709091;0,8321221;0,6225284;0,7773423;0,8130863;0,8515758;0,830015;0,7678869;0,8636092;0,1473638;0,8613234;0,8499132
"AATF";0,053822335;0,51927625;0,0451007;0,041390305;0,15734616;0,09496799;0,156744545;0,3355903;0,04644818;0,04701578;0,052341;0,044338905;0,059390685;0,05519961;0,045389185;0,0500605;0,205015415;0,3441436;0,04466441;0,04238666;0,136772805;0,081688505;0,08412801;0,235734695;0,16206345;0,044776385;0,16906479;0,035433955;0,098808955;0,035244415
"AATK";0,89798145;0,9011137;0,67549035;0,59712995;0,5671058;0,73896445;0,78431075;0,8493248;0,7936153;0,8723266;0,86879955;0,7797275;0,72738435;0,74024465;0,844065;0,64832955;0,6369711;0,8278014;0,8366491;0,54133175;0,8890021;0,8053496;0,8707475;0,885509625;0,8519516;0,81496335;0,9001354;0,8564107;0,90236475;0,718532
"ABAT";0,046461685;0,91006575;0,03216878;0,031636315;0,026501315;0,056495785;0,09296977;0,12096479;0,0909381;0,25476106;0,16415119;0,05979096;0,25662935;0,048299075;0,067408545;0,12075603;0,027018525;0,05709601;0,029810115;0,02193316;0,04093539;0,17081694;0,044844105;0,05847823;0,074661875;0,030353895;0,033803065;0,027471875;0,248744475;0,03392756
"ABCA1";0,046596475;0,7535222;0,1489257;0,1437117;0,77735525;0,6189796;0,384804;0,71855665;0,8523195;0,0462153;0,088583825;0,081509235;0,30274775;0,07316603;0,0863347;0,8373965;0,14515151;0,94972875;0,4679674;0,05978726;0,031471665;0,045987535;0,15680835;0,941654125;0,1981289;0,03343662;0,035852625;0,0268069465;0,56834415;0,221168825
"ABCA2";0,06824752;0,065523975;0,053734835;0,0445462;0,07148102;0,076450195;0,05549974;0,04956275;0,051132755;0,05817892;0,05795952;0,05967235;0,0690351;0,054438355;0,06038897;0,06145722;0,04757234;0,05115928;0,048210965;0,047350785;0,04638085;0,04804393;0,06442885;0,0537401825;0,053528235;0,05062604;0,041794365;0,038605435;0,052960525;0,059348025
"ABCA3";0,40712624;0,9554246;0,510861015;0,30096711;0,302379995;0,7546663;0,59494675;0,53814375;0,6242146;0,6784233;0,46091508;0,322134845;0,505928195;0,48861842;0,10444774;0,65427665;0,5511844;0,6594249;0,50483262;0,4563272;0,5765818;0,45171813;0,44563391;0,53216092;0,6441565;0,5410088;0,57634625;0,523553415;0,525352625;0,5023802
"ABCA4";0,80723575;0,81343645;0,69530365;0,448495445;0,84717575;0,8640793;0,8919;0,90727115;0,8612655;0,82755705;0,822933;0,44567105;0,7592834;0,82370875;0,8438228;0,4098014;0,32281506;0,7493669;0,7078731;0,46258316;0,6486034;0,7496145;0,4453338;0,87704035;0,86127035;0,7162733;0,84330815;0,63215885;0,8928154;0,79565475
"ABCA5";0,285550225;0,317905815;0,076445565;0,23582452;0,444801505;0,34740667;0,097759665;0,45570158;0,281057835;0,32262775;0,200484075;0,083926;0,375660185;0,120022755;0,20169769;0,462059565;0,39497163;0,119480675;0,28473157;0,065222795;0,13865923;0,08177226;0,170753755;0,4772268775;0,12559593;0,122485465;0,24600841;0,214817665;0,475410305;0,29381187
"ABCA6";0,4779706;0,5628366;0,323991;0,2803738;0,168993;0,3198653;0,6070697;0,8754221;0,0729927;0,4473543;0,2275299;0,1286058;0,4960147;0,4363778;0,6336634;0,1369082;0,2831579;0,1273946;0,256383;0,1073753;0,07751938;0,137556;0,1480546;0,5209278;0,5835987;0,5147453;0,1087099;0,07603465;0,6229757;0,2599653
"ABCA7";0,02856561;0,02601249;0,023935705;0,024031615;0,01799448;0,029077245;0,021708845;0,022547915;0,01918047;0,027607365;0,036095735;0,01938985;0,03658804;0,02517722;0,02868869;0,038325185;0,018106285;0,02216561;0,0209188;0,015130705;0,016571325;0,0255791;0,03300144;0,022089135;0,018604245;0,0192005;0,0274732;0,015305705;0,019913195;0,01751269
"ABCA8";0,7807894;0,831365;0,7238128;0,6522158;0,07515708;0,2725953;0,8369527;0,8896375;0,1649322;0,7967699;0,5458875;0,2109398;0,540625;0,5633539;0,7694183;0,1156991;0,6084852;0,8563218;0,5840708;0,3690919;0,06991526;0,2706711;0,6825604;0,5024623;0,7771865;0,4883613;0,1009174;0,06824754;0,5619658;0,8565837
"ABCA9";0,6471233;0,6452138;0,8111859;0,4688556;0,3626287;0,6884188;0,7097805;0,8800298;0,5502855;0,7787864;0,4515086;0,6330522;0,669235;0,7895609;0,5486416;0,2903377;0,4593374;0,7432624;0,6865809;0,5868;0,4684503;0,3359858;0,5309192;0,4477119;0,5799242;0,706158;0,7840854;0,0662347;0,5639241;0,7679052
"ABCB1";0,1343597;0,230155;0,07544821;0,04702751;0,2440154;0,189584;0,07337046;0,2615385;0,2249173;0,09521496;0,230703;0,04528912;0,1727127;0,149334;0,3150307;0,05655931;0,05070221;0,1450606;0,09413754;0,1098928;0,05817452;0,058855;0,1207579;0,2924153;0,05255878;0,07678189;0,1846918;0,06543385;0,2162063;0,3178344
"ABCB10";0,049107355;0,05230089;0,04666917;0,0404518;0,043698625;0,06031783;0,04307967;0,039277745;0,03633117;0,044424825;0,067437325;0,054741095;0,051723985;0,05878391;0,046668445;0,049656115;0,048231285;0,04983345;0,05017987;0,03760685;0,03886561;0,04301967;0,05079204;0,09111839;0,04573584;0,05266236;0,05628798;0,04609163;0,06563618;0,0404092
"ABCB11";0,6752187;0,8085008;0,74013425;0,80096175;0,8200061;0,7241237;0,4167075;0,85025065;0,67177825;0,85802725;0,79049285;0,62919795;0,79703035;0,81739625;0,69505255;0,69540875;0,5088923;0,49335025;0,711429;0,86909335;0,79478295;0,8135183;0,6939328;0,848874575;0,44133483;0,6957188;0,85720015;0,8097351;0,8494246;0,83207415
