X17753;X17754;X17755;X17756;X17757;X17758;X17760;X17761;X17762;X17763;X17764;X17765;X17766;X17767;X17768;X17769;X17770;X17771;X17772;X17773;X17774;X17775;X17776;X17777;X17778
7A5;0.173403226;0.116530749;0.124467252;0.179471624;0.131417937;0.189106119;0.13347167;0.129534626;0.128644343;0.143151621;0.167386531;0.231104218;0.211631497;0.260699452;0.109409297;0.09893903;0.094867638;0.050641391;0.108875444;0.108350277;0.119986614;0.139933956;0.109135723;0.148587867;0.104130714
A1BG;0.946473392;0.949093465;0.960807177;0.967346262;0.894499348;0.924873027;0.778588432;0.781544208;0.901783837;0.696009921;0.939318395;0.954044319;0.875408119;0.862256379;0.983293292;0.950839124;0.939719856;0.932166564;0.463928488;0.851158583;0.853777531;0.959134466;0.865585846;0.944434363;0.582578398
A2BP1;0.059774042;0.102758054;0.667260042;0.354831697;0.336582283;0.054867158;0.492580354;0.564720631;0.029464748;0.02871874;0.039262069;0.055129837;0.179284107;0.166500653;0.047795059;0.043757572;0.111042426;0.838732265;0.028456476;0.035107162;0.035501815;0.068268147;0.326729785;0.046234888;0.027500303
A2ML1;0.432719855;0.5681909;0.56196148;0.448068471;0.46378756;0.531462202;0.26946135;0.393522319;0.536734666;0.540259961;0.739294494;0.849919281;0.556874101;0.334036612;0.643660859;0.55710238;0.425368535;0.093098946;0.299820959;0.569868526;0.534877485;0.702681861;0.533522792;0.519763027;0.272936943
A4GALT;0.152078171;0.149234898;0.10428089;0.174909617;0.087074348;0.08899766;0.104351593;0.105812884;0.305089767;0.095494269;0.114882575;0.095957848;0.215368641;0.103044455;0.104624375;0.163254286;0.180623122;0.061069207;0.110630255;0.102101786;0.080109265;0.131742022;0.060778954;0.113095422;0.091474554
A4GNT;0.726624638;0.743637038;0.304584464;0.629771567;0.320585514;0.622846389;0.18460938;0.41082764;0.659828789;0.417925777;0.689018919;0.683266007;0.54133365;0.296341712;0.567774142;0.22232719;0.183095598;0.06920485;0.317379313;0.432745462;0.569548527;0.657143187;0.383908553;0.698667167;0.193434438
AAAS;0.039870132;0.055318004;0.02734984;0.0306225;0.044179897;0.041569428;0.089736354;0.066924065;0.041107569;0.057453007;0.044350084;0.052308996;0.040309489;0.04437698;0.033611359;0.04771119;0.026405801;0.033476769;0.041486104;0.045234983;0.028749898;0.034240263;0.02877447;0.02923401;0.026109527
AACS;0.052636523;0.051024711;0.043744623;0.041401625;0.045165095;0.059667389;0.051544842;0.037269593;0.037181536;0.046180111;0.051302394;0.050870037;0.091957322;0.140326358;0.038887832;0.090147982;0.048596617;0.031360216;0.037527033;0.038475424;0.039279318;0.036266327;0.039445613;0.053516466;0.036369965
AADAC;0.89126936;0.849956608;0.885247998;0.919259153;0.894302698;0.938793707;0.817051769;0.890481904;0.889733607;0.884255162;0.871703184;0.900080795;0.815522899;0.856224284;0.861110601;0.864993584;0.856968237;0.899122939;0.896474626;0.881152351;0.823520501;0.881831376;0.911673653;0.928475141;0.864410042
AADACL2;0.704035803;0.785462671;0.825635192;0.871337237;0.741131427;0.72607085;0.666808115;0.718693123;0.803625477;0.630488365;0.795085129;0.784463407;0.655758313;0.596892405;0.799699949;0.702244756;0.611551502;0.538382669;0.580373581;0.723154493;0.590008828;0.708245572;0.790451804;0.750650553;0.783347395
AADAT;0.025530371;0.024209988;0.021759513;0.022045388;0.020565383;0.022044113;0.037688494;0.026829241;0.012467829;0.020963997;0.030861974;0.025146175;0.054755872;0.022183828;0.018923418;0.035082176;0.022829325;0.01045748;0.025899607;0.03122088;0.013217127;0.060364006;0.007976216;0.043430803;0.020460904
AAK1;0.030885762;0.021950657;0.041543682;0.016064354;0.041959067;0.023476895;0.020057467;0.042052679;0.013146525;0.028716437;0.029237857;0.022459963;0.034341021;0.020293397;0.010439061;0.011045606;0.015694706;0.012976657;0.056176605;0.02233126;0.016224131;0.019493822;0.011142864;0.015488671;0.015138847
AAMP;0.032112866;0.040191486;0.045418472;0.040665652;0.034278335;0.038374351;0.056702409;0.043412738;0.035819427;0.034342903;0.045090357;0.047862817;0.035595685;0.034982488;0.030683608;0.032767802;0.033514879;0.032122218;0.034424542;0.03553959;0.038249162;0.038678403;0.036704832;0.02813796;0.0308514
AANAT;0.714545498;0.80577329;0.742672396;0.89872292;0.474452275;0.814902527;0.765185455;0.560896009;0.208268288;0.885442701;0.726652908;0.822320462;0.729836258;0.562742136;0.767662735;0.871177421;0.724086501;0.684572476;0.69798119;0.750745821;0.88203601;0.83167121;0.370994895;0.7542567;0.829500096
AARS;0.052658212;0.042718178;0.045886242;0.035700815;0.033526666;0.050658673;0.058717662;0.056055788;0.025262411;0.055487892;0.053597131;0.054820457;0.047809241;0.032723037;0.027801898;0.039856845;0.019933835;0.018189947;0.08100216;0.039972873;0.017776711;0.020914166;0.026531029;0.013977015;0.057143582
AATF;0.026289752;0.027566702;0.016887455;0.021333491;0.016794794;0.268359569;0.017867049;0.015172807;0.019094139;0.014263988;0.025224351;0.024969884;0.033528349;0.198516678;0.041373323;0.017427532;0.017502511;0.014755315;0.024228402;0.031258273;0.023900501;0.027770635;0.015385781;0.045454715;0.014155516
AATK;0.466764717;0.454976531;0.28109483;0.591859247;0.304604669;0.497949675;0.634885609;0.319268859;0.279253551;0.481337455;0.591238675;0.56733438;0.553018504;0.376700733;0.680789346;0.72117382;0.404265313;0.3695282;0.675056842;0.568316638;0.43178008;0.542725632;0.479603034;0.514068914;0.763531602
ABAT;0.040314492;0.039288701;0.025171592;0.03419915;0.036627011;0.030114027;0.064733007;0.033750416;0.034120682;0.040105105;0.037984015;0.047789328;0.03310539;0.025036476;0.026429911;0.050195624;0.035756963;0.027353336;0.027879512;0.028887428;0.035885122;0.036035544;0.025865657;0.04026091;0.022683032
ABC1;0.019705393;0.01959724;0.022176701;0.023501237;0.019751349;0.020222318;0.026464816;0.020552237;0.01474235;0.017219832;0.019672734;0.019300098;0.015764902;0.01648089;0.015212554;0.013050584;0.013463753;0.016973326;0.014780518;0.012805086;0.017834622;0.016390014;0.015664181;0.017009576;0.013896575
ABCA1;0.021879282;0.024928311;0.018475463;0.023888185;0.024071461;0.02604344;0.049856146;0.023831043;0.019815533;0.020904123;0.020583075;0.026557737;0.015211131;0.019443913;0.013941661;0.023103626;0.021618378;0.020315109;0.019624196;0.017790045;0.019853861;0.019702089;0.021301766;0.027820455;0.018523011
ABCA2;0.050639977;0.06150737;0.062867375;0.060487037;0.059680423;0.046282307;0.060564224;0.058365589;0.085460686;0.046937424;0.056357087;0.056372652;0.049843907;0.047747697;0.045383872;0.047617704;0.043575067;0.056306895;0.04698313;0.043571526;0.046028194;0.049926785;0.039130987;0.055400819;0.048595551
ABCA3;0.659298132;0.573690677;0.843162659;0.71014461;0.824280218;0.592534433;0.83046313;0.859630885;0.930254883;0.253132679;0.167172036;0.688280993;0.347183872;0.847922402;0.467779624;0.736058067;0.563022203;0.110968201;0.136059641;0.533916863;0.361011548;0.508700572;0.370886143;0.39564568;0.443444398
ABCA4;0.884109538;0.844840697;0.919384919;0.889960601;0.848093351;0.912797606;0.606371863;0.399190652;0.91545384;0.803430866;0.848304839;0.89616113;0.652836754;0.874445369;0.882443322;0.807959107;0.931795005;0.948955116;0.857182816;0.889624661;0.921879113;0.905289524;0.943146279;0.880022289;0.592535709
ABCA5;0.129840039;0.172829858;0.101325206;0.121447242;0.125100399;0.212810091;0.128641288;0.100247103;0.10141482;0.139404673;0.150079521;0.148061776;0.204525962;0.069892983;0.155046754;0.197316489;0.082182956;0.549130839;0.10212453;0.11077924;0.308408957;0.162621503;0.115164074;0.130010527;0.100071943
ABCA7;0.028529387;0.035473709;0.025974204;0.024859509;0.023889544;0.029418131;0.036861664;0.026921246;0.029396257;0.023888171;0.028692575;0.028253282;0.017653437;0.02726154;0.021327019;0.026900183;0.020314915;0.016930108;0.021625673;0.027845099;0.02138994;0.021033539;0.023132794;0.023732401;0.022329294
ABCA8;0.627719899;0.746982981;0.205182241;0.432981051;0.234574277;0.482136066;0.690398676;0.195233312;0.31751932;0.360830265;0.78497346;0.745126489;0.790680642;0.292958517;0.766747852;0.731565729;0.838097899;0.0589196;0.871524842;0.592816263;0.802579582;0.749113873;0.524410401;0.392299166;0.579644155
ABCA9;0.672197564;0.763824274;0.643542798;0.78570186;0.67463711;0.498778935;0.545393024;0.73113834;0.774754763;0.541360118;0.748735039;0.693088171;0.750866512;0.350746568;0.637310623;0.471017921;0.475065464;0.1741938;0.23702469;0.740561023;0.799814579;0.687028721;0.758524042;0.670532666;0.278736886
ABCB10;0.088964876;0.08096844;0.078247133;0.083834643;0.077262745;0.060364786;0.080648928;0.09451866;0.0680488;0.073480911;0.077538959;0.08432684;0.077775762;0.068657681;0.068861407;0.076478664;0.06459644;0.063018471;0.061317017;0.073810549;0.071330498;0.088391227;0.069612193;0.078069952;0.06319818
ABCB11;0.80268835;0.770066266;0.810075907;0.811697373;0.781309527;0.847869103;0.442481357;0.772292229;0.713626223;0.813890385;0.773703936;0.797953658;0.716832445;0.817430979;0.648143288;0.238066192;0.763788931;0.913724398;0.640647157;0.792028894;0.753512236;0.764343013;0.661151861;0.800622995;0.870691575
ABCB4;0.89376177;0.889400635;0.875404909;0.922609299;0.918880833;0.914011501;0.900358769;0.917183114;0.924028929;0.847269944;0.901717238;0.868085241;0.741448778;0.719432122;0.901018076;0.729671955;0.943538958;0.954573656;0.884321175;0.919791642;0.937557627;0.921819702;0.943324177;0.899513347;0.923213168
ABCB5;0.700417104;0.69243902;0.855884809;0.811973354;0.852465459;0.859908671;0.806774133;0.869945777;0.899990048;0.326523982;0.770598902;0.675165251;0.759666023;0.429898571;0.578855161;0.340592036;0.757379576;0.638174507;0.246977868;0.419857719;0.692591437;0.748259663;0.457481344;0.758319404;0.873151486
ABCB6;0.847713471;0.863880492;0.84314959;0.86616623;0.865237146;0.877539675;0.893734084;0.857749078;0.862283039;0.886717502;0.854935437;0.872533584;0.841851078;0.903508254;0.848830794;0.872052228;0.873646958;0.896116342;0.85351881;0.873185558;0.863902673;0.862798981;0.869705035;0.862672663;0.861037444
ABCB7;0.294336618;0.076217239;0.059027382;0.328407334;0.328872522;0.057371756;0.05517809;0.065499242;0.044288852;0.212560693;0.092491506;0.089475534;0.058967168;0.118229349;0.230123421;0.048494651;0.048389702;0.291806804;0.04569021;0.172476207;0.146925634;0.050468457;0.050666764;0.237977462;0.044096308
ABCB8;0.039666839;0.042442388;0.042698828;0.047106871;0.035804221;0.043542615;0.053503322;0.041538056;0.041569818;0.035803811;0.042988753;0.041786721;0.036744817;0.037054985;0.032833179;0.038307081;0.032895123;0.036223641;0.035488186;0.037504463;0.040009139;0.035669303;0.035700321;0.032064408;0.039317108
ABCB9;0.093207355;0.079815082;0.073850244;0.085866558;0.077817949;0.074677945;0.104603153;0.084566918;0.071039105;0.081954525;0.083270669;0.086709482;0.058361444;0.070336082;0.08798472;0.081513958;0.062687387;0.059391153;0.071194346;0.067208099;0.053773712;0.073502382;0.063345429;0.066249207;0.077735858
ABCC1;0.125387561;0.162951138;0.042460058;0.135471547;0.080726293;0.050171908;0.12371849;0.119392073;0.054543368;0.118301244;0.182437941;0.18885911;0.207485777;0.190668517;0.039391656;0.04942485;0.02530416;0.026342572;0.088894191;0.051556259;0.085845946;0.098404314;0.057566973;0.056358199;0.045769524
ABCC10;0.651805874;0.686561456;0.709159288;0.784732519;0.719755963;0.721383488;0.677644177;0.668145002;0.567764507;0.760296116;0.603375259;0.686870921;0.636168514;0.684009701;0.65538769;0.689260978;0.811040963;0.787029651;0.682404051;0.752970906;0.445759797;0.715282373;0.577074643;0.785449962;0.769829794
ABCC11;0.31911146;0.461082991;0.483014899;0.392218332;0.393222321;0.314811138;0.623133152;0.411381945;0.147198404;0.323380913;0.410116329;0.458864325;0.47662794;0.518751557;0.331236377;0.301155835;0.316509419;0.144577148;0.221114193;0.534077673;0.239727796;0.469114709;0.121771642;0.632532207;0.406425239
ABCC12;0.785073843;0.72662086;0.580668752;0.749819597;0.271212494;0.661968827;0.711483996;0.363798074;0.844573964;0.85832477;0.752611251;0.793186964;0.638108608;0.733968812;0.780271319;0.545834136;0.822917612;0.605421202;0.820850859;0.541661718;0.854286885;0.681766429;0.436103339;0.75195894;0.797742982
ABCC13;0.594331338;0.724199518;0.658036373;0.765416542;0.438474941;0.677427157;0.412174818;0.466117773;0.395371893;0.629268676;0.56300481;0.725823931;0.707817655;0.675903132;0.559485611;0.571896653;0.477695811;0.616876843;0.47113142;0.653653322;0.655194503;0.550777277;0.555529246;0.476854523;0.475252678
ABCC2;0.323393353;0.456685974;0.18080122;0.354116252;0.211036569;0.161485782;0.139700382;0.273393277;0.128716374;0.500126036;0.354728808;0.419179162;0.42576709;0.233235158;0.351939405;0.179892386;0.157187554;0.039781614;0.19252679;0.252125946;0.281129778;0.448396569;0.11418739;0.360328011;0.193075888
ABCC3;0.120934249;0.063210715;0.027142199;0.082103463;0.032552637;0.025287405;0.043173254;0.109214171;0.031794718;0.077622876;0.13178619;0.055488305;0.081365685;0.03079199;0.119181995;0.085272597;0.086829421;0.024331521;0.027108962;0.077050525;0.042359241;0.183728178;0.027751264;0.067209703;0.035380727
ABCC4;0.037695692;0.039672657;0.033978158;0.037315615;0.034842937;0.038913703;0.040793879;0.033711249;0.033468725;0.034244459;0.03098214;0.047459968;0.031268039;0.029215023;0.046397542;0.163686525;0.024310927;0.030228263;0.03593283;0.027876909;0.035376474;0.029152018;0.029024173;0.034975467;0.031292989
ABCC8;0.061346698;0.464225813;0.044917258;0.055038936;0.652762146;0.624111864;0.363461637;0.571431874;0.111515848;0.05212929;0.103928072;0.156429027;0.412417395;0.567071683;0.060058995;0.530224479;0.57283476;0.062463428;0.553133932;0.078318437;0.068814156;0.265336464;0.045499777;0.076774764;0.036933445
ABCD1;0.363373441;0.07356895;0.064643849;0.314325022;0.468171244;0.063962294;0.085337763;0.086131326;0.093668212;0.229104371;0.095175279;0.080173385;0.061474215;0.205565706;0.33285513;0.046764759;0.044813726;0.399583886;0.074206869;0.251725466;0.242786144;0.067825326;0.07117079;0.344398716;0.045076377
