FalseL,TrueL
ACOX2,ABCG2
ADA,ADH6
AKR1B1,AKR1C4
ALDH1A3,BCL11B
AMT,CA9
ANXA3,CCR6
ARHGAP4,CST7
ARL14,CX3CL1
ATP6AP2,DAPP1
AUTS2,CYP27A1
BHLHB9,ELAVL2
BMP7,FAM84A
C19orf33,GREM1
C1QTNF6,HSD17B2
CAB39L,INHBB
CDH17,KCNV1
CDX1,LHFP
CFTR,MEP1A
CIDEB,LRP2
CMTM3,MAGEE1
DNAJA4,MEP1A
DUSP9,MYT1
ELF3,NOX1
ELMO3,OAS2
FBP1,PHYHIPL
FGD4,POF1B
FKBP10,POPDC3
FOXC1,PRDM16
FUCA2,PRDM5
GNG4,QPCT
GPRC5A,RASGRF2
GRAMD3,RAB6B
H1F0,RASEF
HIST1H2BH,RNF186
HNMT,SOX2
HOOK1,SOSTDC1
HOOK3,SPON1
HOXB3,ST6GALNAC1
HOXB2,STEAP4
HOXB5,STK33
HS3ST1,TAPBPL
LCMT2,SYN2
LAMA3,THRB
LDHB,TRAM1L1
,WNK4
