"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","s41","s42","s43","s44","s45","s46","s47","s48","s49","s50"
"expression93",3.2183316910966,2.56241030049515,0.935539889653217,0.604549886002366,0.529819287297539,0.594843614227167,8.02596116043817,2.64483951670083,0.364803943155049,0.0693600235092766,2.17809280221372,1.80178392663857,2.23022449762962,0.218567740761508,1.27212966266561,0.218818753843192,2.23829870012652,1.31643680802769,2.21454217781211,2.49927578418062,1.1579120518334,2.53196473766943,3.47784134578307,7.26828688131962,2.45717948827303,1.91507258634059,1.09571692167529,2.11695995191974,1.7093226069236,8.92338770121279,0.366192771592637,1.35144072806743,2.17589452533558,1.25109615223225,4.23510376630123,0.816468993495096,2.32398469382369,1.55446919508486,0.893475015132823,1.29117556487663,0.175300014542514,0.923257584703121,2.77689933124453,2.99595144954281,1.98930273614876,0.0207594305080376,2.76809460600886,2.68439590007117,1.75114040873249,1.63515603936805
"expression31",4.63476485245956,1.14291713981263,0.480993604915799,2.47999709138406,0.798987745326128,1.09429306278296,8.75067278967228,1.5922286461482,2.79880680133353,2.34780169862269,0.453639849996239,1.41440661756956,1.75915637480499,1.34891869870137,1.20947688321891,0.552517107362088,1.48161530140566,2.67655871674397,4.18339579051985,1.20362881072354,1.76763579691972,0.726162189512998,3.06350924178237,6.4875330251675,0.860035259668974,0.809997020304922,2.2623797654073,1.49471530060106,0.34407751362978,7.89808503992176,3.37764907926026,0.784099666178563,2.87501311535057,2.74144036731999,3.36678020837413,0.727417664609993,1.55833226844541,0.892831295242637,0.371481563811366,0.905129823574961,0.819313518813204,2.35535344280352,0.962403066818527,2.95939243297839,1.64854851159511,1.63010954013226,1.81204371976966,0.597802963875629,1.01402679673562,0.820908824519369
"expression16",4.88256198162634,0.090827929782161,1.12860472666345,1.20780737967236,1.06319397340452,2.98715529484638,7.47665539349624,0.223882032337597,1.84448255489783,1.39435473664836,1.11503127191364,2.10985258712691,1.15904873251632,0.526148994548644,1.5841855608914,1.77488146448924,1.48298122024298,0.759073083327274,3.43235131794678,1.82659470092619,1.82284121867663,2.88339105932138,3.27946761070984,5.84976755625368,0.896744926123719,0.173485209121863,0.106727057890097,1.0397328726907,2.98675412302896,6.84049920110121,2.34416695211923,0.663318493469219,1.50311325193136,2.07964167549512,2.85971770043526,2.03576407526541,3.35397301139065,1.13983168107066,0.236223179604151,3.55861899486904,1.27302254257582,1.37517935069827,1.66275718812376,0.82598068953988,0.771621828889989,0.383345652604861,2.2505350128267,0.550744035259895,2.45555782986823,2.65106278145863
"expression62",5.44185604701999,2.18299257993608,0.442159417714898,0.203879987126157,2.13039281200988,1.16061197758191,9.90491506128708,1.62075146981049,0.726125986994816,2.21041360613216,0.52638838607887,3.18949917682492,3.59272797628012,2.47807441304598,2.01979951509969,0.478288165209273,1.76798421241489,1.20310101120986,2.35070442821857,0.501439993588909,1.9025977811337,2.67902347497756,4.08725487295744,6.40570477395858,2.55394437917581,1.92410479366227,1.75328151153441,1.89485543857213,0.350439891828258,6.88092392020421,0.929137448256378,2.31815081219756,3.1285047475063,2.02559822252299,3.87515615560113,0.731326319709103,3.38161088592261,1.49439932240412,0.483482447034456,1.26334048103372,1.01497300724154,3.48480359241454,2.1486221113851,0.670993143438362,1.35569537439644,3.01446968982746,0.327197390150745,0.333332010582077,2.18367643901152,2.30355856589875
"expression42",5.36680873691607,0.188693254525858,0.348501095398933,0.88981868252441,0.732843610949988,0.425165615602662,5.93445306294485,1.37526695433434,1.88075354129103,2.29248383092873,2.91483180008565,1.51605758034787,4.02410027181212,1.53250746594314,1.58073878067679,0.76042725446402,4.17439323254461,3.1749122908389,3.6934781797189,2.9256034877202,2.75668503314605,2.5860285280214,4.76352336333082,8.16110042332001,1.48665269296109,0.928880141654621,1.61189963951207,0.233348660784855,3.35099973179908,5.61555937725553,1.70912613247081,0.971269871264373,1.81398184229374,1.68255528095679,3.16631265372338,1.84415384918032,0.163672154903652,2.49318186673605,0.116023968239183,1.29782162011935,2.26560174065053,1.20026319408139,1.00283465379635,1.16758191374572,3.30713870009857,3.07911836484622,3.28247743592365,3.0376468815379,0.194875299698045,0.611054597948504
"expression17",6.22768456586289,1.2549338407381,0.867941137678974,0.313667789069107,1.12640933062698,1.1422978154406,8.09488877551507,1.1959225784022,1.97708460148837,2.22047809131935,2.39526377341437,3.72403994164984,1.94551582043452,0.504260928830895,1.66031652413773,0.458328940372218,1.87391097039638,1.33853841247846,3.46579695215532,1.538338338768,0.331327866983649,1.76340394374236,2.46844353974521,7.99597503361502,0.347397810612984,1.05554105274026,1.95235941572094,0.430663525993156,2.57484870720609,6.05467007590646,1.06059953660052,1.92924692461556,1.38761417837476,0.477595180889397,3.62401497390704,0.726278015580479,3.16642600631543,1.2678387138809,0.0509314926119547,1.10616724881468,2.11501119654622,1.61088181581113,1.6583691224894,0.55360650149592,3.15004140447813,1.47914115634784,0.472574982702336,1.33511662887025,2.04932797910604,0.273884091553852
"expression14",5.26031497558183,1.0453621093523,2.2341105189241,1.0998743858279,1.02037473938516,1.27869672491593,6.08663838675233,2.73774346838832,0.600362999927206,0.39106708476716,0.727871256826792,2.0595151081797,0.170932977754636,1.33362403881369,0.765395622896152,1.16107750069078,2.42302972743482,2.33384291243095,4.56274686476259,1.93623392557154,1.01112945160474,3.88052783837504,3.51844193265985,7.90654861658078,3.10774898900332,1.65232009518518,2.91979832794176,0.879962814584081,0.0556093865447853,6.57940568965613,1.01971652833779,2.0939108261637,0.791458202539493,2.1943575376994,2.05079464550397,3.00595098368071,4.10956299704615,1.32376663544453,1.14824911049592,0.827151279090358,0.259137761697549,1.29278595845694,1.69220871948553,1.35981431283119,3.34095681163148,0.476381313553268,0.674401915169838,2.4168448608928,2.13045983638025,1.3662211472758
"expression67",3.85072936107995,1.63012352899664,1.8471605098704,0.299383274788435,1.07819260931551,0.408129149413081,8.09419606493395,1.59513726460949,0.788528699658359,0.440377785191505,1.16054527379076,0.43259946727321,3.27955361542722,1.7687713500316,3.52318558907196,1.58252684822312,2.53934708180791,4.4673354895694,1.36694427297525,0.28843021940921,0.668289930998522,2.73993820057722,2.41429495715144,8.77907201742909,3.50921336072579,3.55086978222839,0.554322737761799,0.185380989913469,1.99278625480679,6.83714080651605,2.45670728979289,0.674299269346226,2.18909710082576,1.64723280724798,3.33470084224243,2.52193001638746,2.13297009416301,2.12422927080031,0.262589671263914,1.04352333259329,0.198849749076758,0.706756167448698,1.79863353268333,2.32829002880545,1.39832890093248,1.5778253038038,2.41504425885101,0.0501060825283755,1.7725031596527,1.2147605953416
"expression57",3.75073726154416,1.16926777028378,1.24747515180143,2.5859061141012,0.0588867286534724,1.26283348108532,7.51530908396823,1.46175896437394,2.00831963491176,1.54452261099352,1.41917229886991,1.93428344318348,0.179383470988679,0.971734553493923,1.85505989229833,0.882373507931254,2.54910593170599,0.323709331341049,0.251935966844057,0.600185575614301,2.18193598727929,3.48583264902778,5.38504585032491,5.68088096597694,1.33620864007472,2.27830259232916,1.48864600042852,1.5427480401998,1.90441610075539,8.01248558455956,3.20606820627941,1.89813111049315,1.75357676133625,0.487087645527484,3.99514670637112,1.11464715235056,1.25891828931906,1.89343740104082,1.45514035398182,0.121756909903703,0.932470041419257,1.51031902795226,0.53747991854852,1.42212596797592,1.76723466246541,3.09354081025005,2.64998210270712,0.790846486120063,3.51876367171729,1.93190738280894
"expression68",6.18355744285593,1.35119736874725,0.52815932811894,0.497585880273905,0.505188617749496,2.5584267164877,9.8956317278435,3.22016600513957,0.511302330718682,1.53655164886245,2.31387862906071,1.03745599273697,0.828907555737431,1.01905205355363,0.792964096065326,0.479975746440897,0.861740571874224,3.22897328484654,3.86134705489355,2.10758688616299,1.54480080316175,1.25682572017339,3.70842186945955,7.35047147821157,4.01119731908408,1.32921389770263,1.40642254126944,1.50723500479376,2.31187143994746,8.57315328083047,2.03885507122287,1.00747268139255,2.16766146227223,1.47440471412266,2.52849020674598,0.133718762789766,3.50499492462186,2.53712752659127,1.00728666844102,0.482367607031941,1.19544357488749,0.381945858958348,1.14959580653049,1.28483195335077,1.76989782377033,1.45231920755464,1.92100948402412,0.778424445978165,3.9100125841168,3.07204303727596
