"","r (Sp)","p (Sp)","adj.Spear.Pval","distCor","SigNegCorr","cMI_min","t_opt","ratio","meth_regulated","logicSc","numericSc"
"A1BG",0.109232480533927,0.565566963706316,0.881970777147178,0.31748287101859,FALSE,0.000284647164117384,"0.69",0.0902691628166065,FALSE,FALSE,-78
"A2M",-0.369966629588432,0.0441853870777664,0.339122845821857,0.454242829050324,FALSE,0.00602335938085521,"0.49",0.072624578311911,FALSE,FALSE,-20
"A2ML1",-0.135483870967742,0.4753226725917,0.845472946753699,0.276510835464372,FALSE,0.023286251060536,"0.34",0.32454744726481,FALSE,FALSE,0
"A4GALT",-0.360622914349277,0.0502621200534548,0.357052796552341,0.42778522295398,FALSE,0.0337961056360561,"0.34",0.383294064424533,FALSE,TRUE,21
"A4GNT",-0.165739710789766,0.381412663113064,0.801714737287435,0.253125121892068,FALSE,0.00625633314735545,"0.55",0.434297359937672,FALSE,FALSE,-91
"AAAS",-0.129254727474972,0.496036432683306,0.854076691243376,0.254361772480738,FALSE,-3.42519070745479e-05,"0",1,FALSE,FALSE,0
"AACS",-0.128364849833148,0.499032221127061,0.854076691243376,0.294704841453587,FALSE,0.00589535845651326,"0.22",0.258004121735574,FALSE,FALSE,0
"AADAC",0.195550611790879,0.3003868597964,0.746628958518011,0.335860455618484,FALSE,0.00458939637910874,"0.83",0.177884188736877,FALSE,FALSE,-54
"AADACL2",0.181757508342603,0.336419305218801,0.778286535230216,0.364188233352708,FALSE,-0.00307457109617205,"0.21",-1.20368952354602,FALSE,FALSE,-143
"AADAT",-0.481646273637375,0.00704074384294606,0.132410280317921,0.625866989287071,FALSE,0.000897507672479688,"0.09",0.00366348702625595,TRUE,FALSE,0
"AAK1",-0.0700778642936596,0.712891457894315,0.930560109195762,0.217965978543857,FALSE,0.000554064687955128,"0.07",0.0486884817545392,FALSE,FALSE,0
"AAMP",-0.222246941045606,0.237838931531293,0.68848430766156,0.296658515312677,FALSE,1.33183179576604e-05,"0",1,FALSE,FALSE,0
"AANAT",-0.398442714126808,0.0291951267782984,0.281517355751011,0.357376289406684,FALSE,-0.000263373805705097,"0.54",-0.0217340202048649,FALSE,FALSE,-201
"AARS",-0.0585094549499444,0.75875552957218,0.945655481721571,0.242630504601589,FALSE,0.000169464315620812,"0",1,FALSE,FALSE,0
"AARSD1",-0.267630700778643,0.152768207979634,0.580365911184168,0.27637099296118,FALSE,0.0117554782292622,"0.35",0.621674243688942,FALSE,FALSE,-4
"AASDH",-0.199555061179088,0.290399985784405,0.739276879992168,0.327373828206244,FALSE,8.68701792440274e-05,"0.03",0.263186817985867,FALSE,FALSE,0
"AASS",0.53726362625139,0.00220240967252772,0.0672504609415116,0.521257402660091,FALSE,0.0258184818554201,"0.63",0.2179478328526,FALSE,FALSE,-174
"AATF",-0.164849833147942,0.384010240846991,0.803457787029098,0.263087190959329,FALSE,0.00587281456517648,"0.35",0.365558678642089,FALSE,FALSE,-2
"AATK",0.236484983314794,0.208326305268214,0.655688141186381,0.359744168048945,FALSE,0.00697752297410847,"0.79",0.231381271810618,FALSE,FALSE,-172
"ABAT",-0.25027808676307,0.182228113601839,0.626112868240558,0.470470022631714,FALSE,0.0465399165094763,"0.26",0.317125383914993,FALSE,FALSE,0
"ABCA1",-0.376195773081201,0.0404706389229528,0.32557081269534,0.401003027186323,FALSE,0.0631646924391791,"0.31",0.295287658821046,FALSE,FALSE,-29
"ABCA2",-0.296106785317019,0.11210685578909,0.512031272580727,0.409946527135246,FALSE,7.47866352891651e-05,"0.05",0.219791360831166,FALSE,FALSE,0
"ABCA3",-0.057174638487208,0.76410292279531,0.946401166724668,0.25947022549781,FALSE,0.0442183595422863,"0.41",0.489201758180915,FALSE,FALSE,-14
"ABCA4",0.0327030033370412,0.863786459147252,0.970019811117512,0.29088676365047,FALSE,0.00366730598162709,"0.33",0.153242688238568,FALSE,FALSE,-72
"ABCA5",-0.160845383759733,0.395825347288564,0.80983071322961,0.332301336678633,FALSE,0.0337108843685359,"0.25",0.421244768530895,FALSE,FALSE,-6
"ABCA6",0.0700778642936596,0.712891457894315,0.930560109195762,0.257358613030636,FALSE,-0.00272505162425877,"0.48",19.1507874082209,FALSE,FALSE,-2
"ABCA7",-0.0131256952169077,0.945116671994447,0.986907545245902,0.353520809939093,FALSE,1.99847318006956e-05,"0.03",0.0867083038429843,FALSE,FALSE,0
"ABCA8",0.185761957730812,0.325698081910605,0.768349846816732,0.330128670638071,FALSE,0.00494120111126525,"0.22",0.0753721618515601,FALSE,FALSE,-2
"ABCA9",-0.00600667408231368,0.974869076868524,0.994681485926607,0.269791167004373,FALSE,0.00454104530428296,"0.57",0.300928964741333,FALSE,FALSE,-12
"ABCB1",0.00511679644048943,0.978591258394917,0.994726702898522,0.169287853202635,FALSE,0.0204071092068558,"0.19",0.524170857339412,FALSE,FALSE,0
"ABCB10",0.123025583982202,0.517195874907898,0.861285433672308,0.266759349440112,FALSE,0.000116586071663804,"0.07",0.623360632332172,FALSE,FALSE,0
"ABCB11",0.0233592880978865,0.902484021476916,0.97715336955069,0.261783831521191,FALSE,-0.000274602200412621,"0.51",-0.0855826800826809,FALSE,FALSE,-76
"ABCB4",0.223581757508343,0.234959490783647,0.686093793267723,0.290784781199524,FALSE,0.0043030715597572,"0.72",0.150216141259971,FALSE,FALSE,-25
"ABCB5",-0.00912124582869855,0.961846017337826,0.992154823005846,0.268266717095609,FALSE,0.00420901029913977,"0.35",0.144123871970734,FALSE,FALSE,-70
"ABCB6",-0.511457174638487,0.00386817216230639,0.0957267267791685,0.863640149090629,TRUE,0.00898996385182505,"0.52",0.0319046531098473,TRUE,FALSE,-32
"ABCB7",-0.466518353726363,0.00935793496866077,0.154053309143504,0.329091765326379,FALSE,0.0120865639612793,"0.44",0.221126977006421,FALSE,FALSE,-2
"ABCB8",-0.22091212458287,0.24074183075198,0.690900121047322,0.417191119963912,FALSE,1.92140538212128e-05,"0.04",0.203740653093488,FALSE,FALSE,0
"ABCB9",-0.352169076751947,0.0563135806817434,0.378276737412137,0.350906774538498,FALSE,0.000142199037066874,"0.06",0.836108439597481,FALSE,FALSE,0
"ABCC1",0.104783092324805,0.581596253766823,0.889864203466775,0.21225672878766,FALSE,0.0274121385938853,"0.21",0.525579142199044,FALSE,FALSE,-45
"ABCC10",0.141713014460512,0.455066758949066,0.838459580681661,0.297300931857812,FALSE,0.022289004786352,"0.3",0.538804928714451,FALSE,FALSE,-99
"ABCC11",0.189766407119021,0.315189482908271,0.759651461140473,0.302264057037101,FALSE,-0.000718227246837035,"0.38",-0.107845933816285,FALSE,FALSE,0
"ABCC12",-0.0246941045606229,0.896940281892987,0.976315315344796,0.297548270242238,FALSE,0.0176350311212654,"0.14",0.656400988945138,FALSE,FALSE,-39
"ABCC13",-0.536818687430478,0.00222474056923572,0.0675690591602901,0.468684854189869,TRUE,-0.000767308575246609,"0.63",-0.104284689039174,FALSE,FALSE,-155
"ABCC2",-0.60622914349277,0.000384004975103602,0.0246435735152645,0.674520534998259,TRUE,0.0696870593413857,"0.4",0.180287713442257,TRUE,TRUE,35
