"","r (Sp)","p (Sp)","adj.Spear.Pval","distCor","SigNegCorr","cMI_min","t_opt","ratio","meth_regulated","logicSc","numericSc"
"7A5",0.434615384615385,0.0299282217204777,0.562902066006498,0.475181201892184,FALSE,0.0106980378970905,"0.15",0.721519208631772,FALSE,FALSE,0
"A1BG",-0.0415384615384615,0.843714916157162,0.981488522841187,0.413453007302189,FALSE,0.0202179270104577,"0.91",0.416462107128642,FALSE,FALSE,-25
"A2BP1",0.0761538461538462,0.717500486460383,0.967536655715974,0.149075667179871,FALSE,0.0497580883659964,"0.18",0.237720030154974,FALSE,FALSE,-31
"A2ML1",-0.139230769230769,0.50684516288957,0.929091599983157,0.191836660743726,FALSE,0.0566564163524783,"0.3",0.46779808148457,FALSE,FALSE,-39
"A4GALT",-0.102307692307692,0.626520672055417,0.952552188590717,0.311929643692045,FALSE,0.0104034286721472,"0.22",0.532172004475922,FALSE,FALSE,0
"A4GNT",-0.465384615384615,0.0190615928407545,0.474012809343937,0.255224285963241,FALSE,0.031860016901988,"0.44",0.173103027569904,TRUE,FALSE,-4
"AAAS",-0.0430769230769231,0.838000116164118,0.981233109140849,0.274925793306488,FALSE,0.000614662071038964,"0.07",0.665254177720211,FALSE,FALSE,0
"AACS",0.194615384615385,0.35122536711204,0.878239257334824,0.329333988024823,FALSE,0.00238126026702681,"0.06",0.479839021864278,FALSE,FALSE,0
"AADAC",-0.281538461538462,0.172759526167158,0.759070222747022,0.411657982940032,FALSE,0.00167637871712703,"0.83",0.161998504288242,FALSE,FALSE,-54
"AADACL2",0.100769230769231,0.631743574633215,0.952552188590717,0.385001874664075,FALSE,0.0110982479594899,"0.71",0.200213735057805,FALSE,FALSE,-202
"AADAT",0.0730769230769231,0.728483947910177,0.967536655715974,0.281081246675845,FALSE,0.000395687154888827,"0.05",0.429993751466619,FALSE,FALSE,0
"AAK1",0.182307692307692,0.383091773032514,0.895236459872029,0.284250602062685,FALSE,0.000241995046768602,"0",1,FALSE,FALSE,0
"AAMP",-0.303846153846154,0.139776692218559,0.732322548042084,0.411663796268848,FALSE,0.000260864459344141,"0.04",0.392289462888435,FALSE,FALSE,0
"AANAT",-0.254615384615385,0.219346564411885,0.79569121631553,0.197528574029676,FALSE,0.0419232985264291,"0.57",0.336005128827898,FALSE,FALSE,-204
"AARS",0.00715379265346012,0.9729265604868,0.995959525198083,0.265864315347257,FALSE,0.000703934008339112,"0.03",0.450490402971153,FALSE,FALSE,0
"AATF",0.31,0.131533842242238,0.725120802232949,0.291133760366849,FALSE,0.00223106225577657,"0.05",0.323355286612098,FALSE,FALSE,0
"AATK",0.198461538461538,0.341598752875472,0.872724008990353,0.300214815660824,FALSE,0.0172113693288517,"0.52",0.400760549936449,FALSE,FALSE,-66
"ABAT",0.306153846153846,0.136643293140393,0.728872780521514,0.494686107035156,FALSE,0.000254826512609324,"0.06",0.277729142910589,FALSE,FALSE,0
