"","r (Sp)","p (Sp)","adj.Spear.Pval","distCor","SigNegCorr","cMI_min","t_opt","ratio","meth_regulated","logicSc","numericSc"
"A1BG",-0.0783811918901605,0.243736929680885,0.430373116698364,0.110401276931098,FALSE,0.0103115002351948,"0.62",0.745180374861685,FALSE,FALSE,-1224.6
"A2M",-0.188919945764202,0.00464232888870697,0.022925920923388,0.202334273834149,FALSE,0.0120785827437091,"0.69",0.449078434858678,FALSE,FALSE,-182.6
"A2ML1",-0.0203357880382235,0.762650025521395,0.869955341672751,0.117789923563527,FALSE,0.0100029972136341,"0.37",0.289671387583447,FALSE,TRUE,113
"A4GALT",-0.0865890714545423,0.197674746698364,0.37583708291618,0.156018768452476,FALSE,0.0145368082085622,"0.43",0.573068468967763,FALSE,FALSE,-102.6
"A4GNT",0.0892642892256515,0.184124698833036,0.358577859190068,0.116747989757748,FALSE,0.0167046343102811,"0.53",0.607581379239768,FALSE,FALSE,-274.4
"AAAS",-0.191528502273519,0.00409589130640153,0.0207779252739466,0.198874449689296,FALSE,0.0021022736303341,"0.21",0.516544461681504,FALSE,FALSE,0
"AACS",-0.190628563390023,0.00427748552362095,0.0215023451396349,0.202031405337061,FALSE,0.00140414145656881,"0.14",0.192521029308421,FALSE,FALSE,0
"AADAC",-0.148054103860865,0.0270571948822307,0.09027744502455,0.27708873666214,FALSE,0.00384668394966894,"0.78",0.206739272777621,FALSE,FALSE,-397.6
"AADACL2",0.044660291881158,0.507008127993114,0.680552472418906,0.125521639463914,FALSE,0.00677855683452805,"0.63",0.543079797059285,FALSE,FALSE,-999.4
"AADAT",-0.121463697833017,0.0702407619251524,0.182707323346924,0.190272246673982,FALSE,0.00107810090166713,"0.26",0.0869844581333342,FALSE,FALSE,0
"AAK1",-0.0314864432016898,0.64002316085727,0.78458746050182,0.111936860027992,FALSE,0.000569578901956742,"0.04",0.595658054288612,FALSE,FALSE,0
"AAMDC",0.102387591966826,0.127411553510814,0.277877408470947,0.148765723348324,FALSE,0.000388000439694005,"0.06",0.433399266832433,FALSE,FALSE,0
"AAMP",-0.242076438869498,0.000263180769927818,0.00218477106754163,0.268129317984189,FALSE,0.000111732756101125,"0.04",0.245248916894101,FALSE,FALSE,0
"AANAT",-0.0182765533232879,0.786071100836441,0.883701832213031,0.104123388215616,FALSE,0.00971274836769115,"0.54",0.622210887028287,FALSE,FALSE,-1542
"AAR2",-0.0193575178313281,0.773751101268191,0.875536202092047,0.106101468487597,FALSE,0.000109857908061982,"0.06",0.369597147037614,FALSE,FALSE,0
"AARS",-0.164251735720346,0.014060324552351,0.0547006949911264,0.209069017351427,FALSE,0.000308708789032333,"0.06",0.197850585135472,FALSE,FALSE,0
"AARSD1",-0.493407858952142,4.44089209850063e-15,2.60443960483211e-13,0.480000177736185,FALSE,0.0276293591296342,"0.59",0.24542952237861,TRUE,FALSE,-114
"AASDH",-0.00667073183268567,0.921093375404868,0.960531556021991,0.120257174501526,FALSE,0.000243209091053596,"0.03",0.649278915024526,FALSE,FALSE,0
"AATF",-0.141034540782917,0.0353095407474711,0.111231658559912,0.170275241032657,FALSE,0.00189838064915158,"0.27",0.441176718359232,FALSE,FALSE,-2
"AATK",0.267045625163849,5.36738527765479e-05,0.000571035538384428,0.258061371561024,FALSE,0.005639435249884,"0.68",0.321335642261156,FALSE,FALSE,-2176.4
"ABAT",-0.361767492342698,2.67470658954494e-08,5.82799284243175e-07,0.376721100458337,FALSE,0.00140221491438433,"0.15",0.559768865201065,FALSE,FALSE,0
"ABCA1",0.175822939115057,0.0085041052906667,0.0368282120376117,0.152518098574762,FALSE,0.000382162447674137,"0.36",0.568522790349859,FALSE,FALSE,0
"ABCA2",-0.00488577538689361,0.942163746952905,0.970993726969824,0.0990167314179403,FALSE,0.000693168227770625,"0.05",0.756486723015289,FALSE,FALSE,0
"ABCA3",0.0412261081190704,0.54024819794081,0.706976660449186,0.127079330835831,FALSE,0.000150499701349907,"0.03",0.466117084322673,FALSE,FALSE,0
"ABCA4",-0.0770994625648641,0.251556239798151,0.439115201353563,0.121805658268121,FALSE,0.00505224879114871,"0.8",0.663650139684123,FALSE,FALSE,-78.6
"ABCA5",-0.0512486997642498,0.446354940092822,0.632179746943913,0.119962207177207,FALSE,0.0116863953069288,"0.26",0.402574477605013,FALSE,FALSE,-101.2
"ABCA6",0.318639948404522,1.18092534018288e-06,1.8786434426553e-05,0.308426444981622,FALSE,0.00651705771294472,"0.25",0.276510213375475,FALSE,FALSE,-62.6
"ABCA7",-0.0658508377644142,0.327629755621788,0.52141824853362,0.161467077106528,FALSE,0.000109151327394279,"0.04",0.204859777410613,FALSE,FALSE,0
"ABCA8",0.0130649818771888,0.846165221180589,0.919246517569826,0.106578257581575,FALSE,0.016646187115702,"0.46",0.676669747134624,FALSE,FALSE,-260.4
