probe,pvalue,Primary.solid.Tumor_Minus_Solid.Tissue.Normal,adjust.p
cg25340711,3.898829340736982e-5,-0.3193080953822465,5.509361254294427e-5
cg24852892,5.4186249429576675e-24,-0.4664679913954474,4.835533780617658e-23
cg06358191,2.617048065826191e-9,-0.3832813298277108,6.310121768115427e-9
cg06646682,8.147635834256392e-18,-0.4730666328473097,4.041818138927189e-17
cg15844005,2.1049918716271655e-30,-0.3818866287329394,4.0190658758276813e-29
cg06205922,2.3028658972781394e-22,-0.3646617268091259,1.7425372365579284e-21
cg12270813,4.554478474886721e-22,-0.4333805687458846,3.30905029016106e-21
cg16305094,9.477460863171358e-26,-0.38738536799549506,1.0586388256685285e-24
cg26908276,4.3929867582501913e-23,-0.4382524285213245,3.5709328005182244e-22
cg16277776,3.9435666575761324e-26,-0.3948792800407884,4.6585154329064815e-25
cg24706992,3.5548415533220675e-12,-0.36855267298685107,1.1034120662674546e-11
cg22962923,1.8777083677038173e-22,-0.33986830976118715,1.4340451812882177e-21
cg16926213,1.2772955282572602e-15,-0.31464014292029596,5.1154128229229785e-15
cg19630039,7.9735608938176e-27,-0.3708023800300207,9.994341211945419e-26
cg06082439,2.8457879501600785e-25,-0.39072068286937756,2.9762954230336617e-24
cg24315049,2.0184595256151645e-20,-0.37889356425226806,1.2459814064135715e-19
cg14839558,8.520638493809147e-11,-0.5304731647612648,2.3834562873653526e-10
cg10331922,1.7987589978454957e-18,-0.3586826770677305,9.376388172896202e-18
cg13788313,4.050216025068711e-7,-0.30025339536437484,7.652997368426723e-7
cg00889627,7.242015124501615e-25,-0.4620107595648073,7.206902323897971e-24
cg04781796,1.2333564204761203e-49,-0.6967509349790233,1.0125856212108948e-46
cg14522944,1.1991173941485598e-11,-0.4092726776595565,3.547659029174658e-11
cg03324138,3.373461532013935e-33,-0.352232640060191,9.080694812404723e-32
cg00093522,1.1433384781111902e-23,-0.3596944185525174,9.777925943013409e-23
cg16600733,1.3217721987377132e-7,-0.3901212919255821,2.6532395480774146e-7
cg01520454,6.661652320874988e-6,-0.33025643125537285,1.0640499135094098e-5
cg03722487,1.9932716906734044e-24,-0.3587647166574419,1.9252659506386647e-23
cg27573975,2.2665889334520472e-12,-0.3625991289702107,7.1297682542687e-12
cg04835685,4.0967913618375594e-20,-0.31105325505448367,2.419759502207652e-19
cg20848441,2.507802024300302e-5,-0.3122374167851083,3.6397498786906015e-5
cg24412662,3.2945184539299345e-50,-0.6735350846264623,5.409599301352953e-47
cg00050294,4.440329090004865e-9,-0.5000919500512746,1.0475603973833316e-8
cg13300670,1.5672992763640245e-5,-0.30745968243377053,2.3697103239316097e-5
cg10636760,3.7162857374077023e-10,-0.5861894992434775,9.763425889317516e-10
cg06201717,4.398190904715674e-11,-0.49763823285566827,1.2647687330198137e-10
cg25008795,1.542833378312063e-27,-0.3745969564919499,2.0765019731052519e-26
cg10572807,2.10898928833856e-16,-0.3763608260702416,9.089134938194004e-16
cg11837181,2.3435371783215286e-11,-0.33135792429586153,6.834969887751243e-11
cg24678113,7.45517795120765e-41,-0.4526389343288377,8.606711889880983e-39
cg22226775,1.283944372394835e-7,-0.3773708370821067,2.5836233571964697e-7
cg12599275,5.034515789480311e-41,-0.44855962687862294,6.358980712558976e-39
cg10520026,1.2896034282309554e-13,-0.47551260188959404,4.4579554298004816e-13
cg21604357,1.75469043790911e-37,-0.5508124579086129,9.294199029183092e-36
cg12905252,2.2316571515118046e-11,-0.5474673732364215,6.520250965804953e-11
cg27444751,3.975794817117637e-26,-0.4286302851172127,4.663039349790828e-25
cg26407161,9.516418875189451e-10,-0.33769792790113057,2.3966196001627422e-9
cg22615510,4.311477577455967e-16,-0.41799994075290214,1.8106000465940405e-15
cg10097755,2.7989599111580588e-33,-0.396317582811476,7.92395202434747e-32
cg05223638,1.3071405061786659e-17,-0.5112083650187316,6.294207364062667e-17
cg07168837,4.677789397562472e-13,-0.45890114678434646,1.5548441681776476e-12
cg17455155,7.943551990664264e-8,-0.5162454215744089,1.6468828748321616e-7
cg19866637,2.728390625880879e-23,-0.5391921980885248,2.262635054392123e-22
cg05343184,1.043360164049063e-21,-0.6374428751865577,7.228680967799838e-21
cg03226435,2.781406490777224e-7,-0.35676996957253765,5.398427255149176e-7
cg19243842,5.392898026584767e-11,-0.33405568562485166,1.5400240973308153e-10
cg14516243,7.89673993581057e-6,-0.31106351505654695,1.2503806147156178e-5
cg24045378,2.6202275770334885e-7,-0.312519261938494,5.097646542048564e-7
cg07622451,4.3054653349576756e-24,-0.45850116440662136,3.9275411555558353e-23
cg18145414,1.1356404864567067e-17,-0.3280001332552249,5.533298750035348e-17
cg05755889,3.135046314254233e-25,-0.4613966971181447,3.2375761308210385e-24
cg20699701,4.585934692148626e-16,-0.35975443146095343,1.9111941026670163e-15
cg13393782,3.052854810712211e-6,-0.383721727926701,5.130795905004555e-6
cg15391425,1.0058395535296527e-19,-0.5667638197024962,5.7346824544989235e-19
cg02892384,1.9700333952067077e-33,-0.40829040256073024,5.684932654332936e-32
cg14380230,2.2526751217793855e-7,-0.3069189321840168,4.3929840260828395e-7
cg26153353,2.352269707102821e-15,-0.42873797209273623,9.32953347599718e-15
cg16555926,8.274997889131661e-32,-0.44267566721949864,1.78783507025713e-30
cg22729726,1.6248667614425156e-9,-0.3406684947668553,4.000046810027902e-9
cg26044566,5.577497093911004e-17,-0.47761082159915913,2.516002809945568e-16
cg19706803,2.748903543108562e-22,-0.5301135464356774,2.070504411827642e-21
cg26913155,9.030298498190672e-20,-0.44902256703369325,5.221038779587706e-19
cg02769687,6.605793285875806e-15,-0.39174558608637855,2.546176660893914e-14
cg22031783,2.2664647547238372e-36,-0.6316514873736829,1.00582030466393e-34
cg09119863,1.464054783693461e-14,-0.4208020338558408,5.4889482359731666e-14
cg16386396,4.923021156627353e-5,-0.40227770049133177,6.85050910100179e-5
cg17489690,3.134869692775656e-23,-0.46984326757932526,2.573728017768814e-22
cg15727188,5.367323689674245e-13,-0.4997954477408046,1.773268711960787e-12
cg23265656,1.827602253488791e-12,-0.4296878292265219,5.771005577362683e-12
cg20429350,5.079786145946197e-12,-0.5248525984805168,1.5446312688228993e-11
cg25150520,1.7345577230796905e-6,-0.4181572829884952,3.0235071988289297e-6
cg24499605,1.1775242339951657e-5,-0.33556206689801,1.8223325091612272e-5
cg23631759,8.664328184484267e-5,-0.4399335154882979,1.1699693157009183e-4
cg24851370,5.676246719372198e-8,-0.41553150004204387,1.1995363080063256e-7
cg19904265,2.4082347188633777e-6,-0.3125405045580434,4.097742392097063e-6
cg09891226,3.6396556809469146e-31,-0.6032896795754792,7.470393285143542e-30
cg00329272,6.864176368410393e-39,-0.43553317952882675,5.367132189014221e-37
cg02067098,8.031154322901064e-19,-0.40918574823936676,4.2676878311338336e-18
cg17421241,1.7968795940442607e-9,-0.3678425937057841,4.397133075142587e-9
cg15823330,1.5244174490500282e-9,-0.50731527432332,3.764050302767138e-9
cg06703375,7.286192458386227e-26,-0.4079609113780535,8.366383228440688e-25
cg13689309,9.039296954355409e-7,-0.443320370892462,1.6364416316484656e-6
cg16059167,3.3843529007178107e-9,-0.4017282802302639,8.05377893185311e-9
cg21848084,2.2572012070963317e-17,-0.4085597682331619,1.0559328723795375e-16
cg17493795,2.687116732205518e-7,-0.3423499962516592,5.221592513942558e-7
cg06911744,2.5118295303265206e-6,-0.38055879095282075,4.2607686867728795e-6
cg12593511,1.2912662794413736e-4,-0.45380671991101296,1.7112665301394152e-4
cg08831401,4.997610371730044e-5,-0.3793739022285134,6.93666629787044e-5
cg16176095,6.64257865945327e-17,-0.41971877248258316,2.9800858357437895e-16
cg15385853,6.811891945168628e-22,-0.5049382238575679,4.842046135916401e-21
cg15059176,3.6008697222805416e-7,-0.3152027993280543,6.85919731320725e-7
cg15386853,4.704387602471243e-10,-0.4936546031496204,1.224184539343547e-9
cg25783497,1.0074699469804196e-33,-0.42473183120922353,3.0634549128552763e-32
cg17286074,7.547006499332513e-12,-0.5047846343771809,2.2775278270271073e-11
cg25362585,3.700988501883768e-7,-0.40421130628290497,7.033591574181884e-7
cg09788762,1.4039555029278275e-28,-0.44014288699203025,2.1544812484182174e-27
cg04483711,2.1450402068834984e-9,-0.35452402001554656,5.202593825262488e-9
cg11251399,5.102675778258503e-36,-0.41113603785696134,2.148357340487298e-34
cg26786407,6.197036312767195e-22,-0.38742302016768726,4.424145054592928e-21
cg01941754,4.473484262794145e-22,-0.3768218204311097,3.264649404225772e-21
cg27450668,1.7964622194770676e-7,-0.39136858158044824,3.5539650173269216e-7
cg22791030,8.700728448452082e-8,-0.3427953021007871,1.7925465636585094e-7
cg21811896,1.6712351345621568e-17,-0.3588674211972086,7.931121650147577e-17
cg27637706,1.116917138223459e-13,-0.3759728583861921,3.8855464850909313e-13
cg12612393,6.48409558121339e-16,-0.3544053469327003,2.6617212360880967e-15
cg22335847,1.2672912306324386e-29,-0.38859791732568055,2.2137151071260256e-28
cg20000908,3.470793917955603e-9,-0.33623581871921115,8.247530554678872e-9
cg17153775,2.0764452889915722e-26,-0.3809162732887206,2.525572714462342e-25
cg03957235,4.8679905268116914e-24,-0.36491965198361154,4.391890354409229e-23
cg04549679,2.4978947763572613e-24,-0.4048894384052999,2.3846181527782692e-23
cg17967071,1.1590279799403978e-22,-0.42995505844879206,8.934854192779969e-22
cg23698560,3.9966615470136694e-24,-0.35390364185735856,3.6662113185455e-23
cg00935967,2.1182573529889233e-29,-0.5458335180271541,3.6231026808414713e-28
cg07115817,5.273078965713891e-31,-0.45539151954140317,1.0689377360126184e-29
cg17876128,7.43229178208477e-7,-0.40457863074051525,1.3650808843605362e-6
cg08847614,4.3386670265959716e-44,-0.5720599361731391,1.424818251534117e-41
cg25469923,1.9306099126365533e-10,-0.4124571151213936,5.222506551151928e-10
cg13443938,3.4924432537078273e-7,-0.3769660160474371,6.66813002626541e-7
cg13224197,5.791998101886063e-12,-0.42088454477324005,1.7546975799440806e-11
cg00546971,8.935160376190854e-8,-0.4563207528283852,1.8362369634174445e-7
cg21271015,7.288019281142144e-17,-0.3760499338410914,3.251882516205272e-16
cg15645728,1.282512917118194e-8,-0.40478774165769016,2.8690547818911096e-8
cg13056990,8.10238929711856e-34,-0.6389565980079789,2.5102119294091845e-32
cg11380667,3.2595517102909612e-24,-0.34169902174447864,3.04101358426009e-23
cg24525286,8.696834185007272e-35,-0.4097973458725245,2.9750420274545713e-33
cg21267167,3.473775567529768e-39,-0.46574483402311884,2.8519697409419392e-37
cg21913897,7.855241626062565e-23,-0.49406612336702405,6.171438636361117e-22
cg24350011,2.5910408272762123e-21,-0.47826592664256296,1.7365261381173636e-20
cg20995977,3.839316072619165e-11,-0.4831027639314578,1.1079362023270067e-10
