"ENTREZID","SYMBOL","TXNAME","TXID","TXCHROM","TXSTART","TXEND"
"10100","TSPAN2",5983,"uc001eft.3","chr1",115590633,115632121
"10962","MLLT11",2406,"uc001ewq.3","chr1",151032151,151040973
"149628","PYHIN1",2786,"uc001fta.4","chr1",158901337,158909513
"163259","DENND2C",5964,"uc001eez.3","chr1",115064017,115213044
"1806","DPYD",5743,"uc001drv.3","chr1",97543300,98386615
"260293","CYP4X1",1274,"uc001cqr.3","chr1",47427036,47516423
"2672","GFI1",5691,"uc001dou.4","chr1",92940318,92949356
"4070","TACSTD2",5439,"uc001cyz.4","chr1",59041095,59043166
"5174","PDZK1",2248,"uc001eon.2","chr1",145727666,145764206
"54546","RNF186",4569,"uc001bcr.3","chr1",20140522,20141771
"5567","PRKACB",1664,"uc001dji.3","chr1",84543745,84670979
"59352","LGR6",3388,"uc001gxu.3","chr1",202163118,202288889
"63976","PRDM16",154,"uc001akc.3","chr1",2985742,3355185
"725","C4BPB",3548,"uc001hfi.3","chr1",207262212,207273337
"7780","SLC30A2",4751,"uc001blg.1","chr1",26364514,26372604
"79574","EPS8L3",5852,"uc001dyq.2","chr1",110292702,110306644
"79762","C1orf115",3713,"uc001hmp.1","chr1",220863628,220872499
"79906","MORN1",4250,"uc001ajb.1","chr1",2252696,2322993
"83998","REG4",6035,"uc001eif.3","chr1",120336641,120354203
"101","ADAM8",40850,"uc009ybi.3","chr10",135075920,135090407
"1109","AKR1C4",37610,"uc001ihw.2","chr10",5238798,5260910
"118471","PRAP1",39211,"uc021qbf.1","chr10",135122894,135166187
"1244","ABCC2",38777,"uc001kqf.2","chr10",101542463,101611662
"1308","COL17A1",40578,"uc001kxr.3","chr10",105791046,105845638
"1847","DUSP5",38926,"uc001kzd.3","chr10",112257625,112271302
"22943","DKK1",38118,"uc001jjr.3","chr10",54074041,54077417
"27287","VENTX",39208,"uc010quy.1","chr10",135051408,135055433
"55506","H2AFY2",38243,"uc001jqm.3","chr10",71812357,71872040
"9033","PKD2L1",40458,"uc001kqx.1","chr10",102047903,102090243
"338707","B4GALNT4",40898,"uc001lpb.3","chr11",369795,382117
"5003","SLC22A18AS",43355,"uc001lwv.4","chr11",2909327,2925175
"53826","FXYD6",45169,"uc001pro.2","chr11",117707691,117747746
"9379","NRXN2",44391,"uc001oao.3","chr11",64373646,64391468
"283375","SLC39A5",46487,"uc010sqi.2","chr12",56623820,56629596
"4640","MYO1A",48464,"uc010sqz.2","chr12",57422301,57441614
"5959","RDH5",46420,"uc010spt.1","chr12",56114151,56116442
"90070","LACRT",48343,"uc001sgi.1","chr12",55024623,55028663
"94240","EPSTI1",50272,"uc001uyw.2","chr13",43460524,43566407
"11035","RIPK3",52572,"uc001wpa.3","chr14",24805227,24808271
"1152","CKB",53463,"uc001ynf.2","chr14",103985995,103989196
"123099","DEGS2",53416,"uc001ygx.2","chr14",100612753,100626012
"1396","CRIP1",52271,"uc001yri.4","chr14",105953257,105955124
"145282","MIPOL1",51215,"uc010amr.2","chr14",37667118,37976989
"23428","SLC7A8",52478,"uc001wiw.3","chr14",23594504,23599352
"4253","MIA2",51235,"uc010tqe.1","chr14",39734476,39815230
"4323","MMP14",50986,"uc001whc.3","chr14",23305793,23316803
"5732","PTGER2",51321,"uc001wzr.3","chr14",52781016,52795322
"145864","HAPLN3",56615,"uc002bnc.3","chr15",89420519,89438770
"161753","ODF3L1",54676,"uc002bax.1","chr15",76016319,76020027
