"ENTREZID","SYMBOL","TXNAME","TXID","TXCHROM","TXSTART","TXEND"
"10158","PDZK1IP1",5278,"uc001cqw.3","chr1",47649261,47655771
"10256","CNKSR1",680,"uc010oex.1","chr1",26503981,26511677
"10451","VAV3",5795,"uc010ouu.1","chr1",108113782,108220631
"10628","TXNIP",2224,"uc001enn.4","chr1",145438462,145442628
"10753","CAPN9",3848,"uc001htz.1","chr1",230883130,230937749
"11000","SLC27A3",2533,"uc001fcz.3","chr1",153747768,153752633
"126792","B3GALT6",74,"uc001adk.3","chr1",1167629,1170420
"126969","SLC44A3",1791,"uc001dqv.5","chr1",95285898,95360803
"128218","TMEM125",1097,"uc001cir.3","chr1",43735665,43739673
"140576","S100A16",6449,"uc001fcc.3","chr1",153579367,153581481
"1465","CSRP1",7388,"uc001gwr.2","chr1",201452658,201462029
"148641","SLC35F3",3914,"uc001hvy.1","chr1",234040679,234460262
"1510","CTSE",3509,"uc001hdu.3","chr1",206317459,206332104
"163259","DENND2C",5964,"uc001eez.3","chr1",115064017,115213044
"2170","FABP3",4857,"uc001bss.1","chr1",31838100,31845923
"22977","AKR7A3",4555,"uc001bbv.1","chr1",19609057,19615280
"23057","NMNAT2",7252,"uc009wye.2","chr1",183217372,183248417
"2331","FMOD",7444,"uc001gzr.3","chr1",203309752,203320289
"255738","PCSK9",1395,"uc010ool.2","chr1",55505149,55518464
"25893","TRIM58",4040,"uc001ido.3","chr1",248020501,248043438
"260293","CYP4X1",1274,"uc001cqr.3","chr1",47427036,47516423
"26191","PTPN22",5933,"uc001eds.3","chr1",114356433,114414375
"26232","FBXO2",4407,"uc001asj.3","chr1",11708418,11714888
"26270","FBXO6",321,"uc001aso.3","chr1",11724150,11734409
"2633","GBP1",5657,"uc001dmx.2","chr1",89517987,89531043
"26508","HEYL",5065,"uc010oiw.2","chr1",40089103,40098672
"2707","GJB3",919,"uc001bxx.3","chr1",35246790,35251967
"27293","SMPDL3B",760,"uc001bpf.3","chr1",28261504,28282991
"2810","SFN",723,"uc001bnc.1","chr1",27189633,27190947
"2882","GPX7",1326,"uc001cue.3","chr1",53068043,53074723
"2944","GSTM1",1971,"uc001dyk.3","chr1",110230418,110236367
"3586","IL10",7532,"uc001hen.1","chr1",206940948,206945839
"3633","INPP5B",5035,"uc001ccf.1","chr1",38326369,38397421
"3664","IRF6",7569,"uc001hhq.2","chr1",209958968,209979520
"3898","LAD1",7379,"uc001gwm.3","chr1",201349966,201368669
"50848","F11R",6906,"uc010pjv.2","chr1",160965001,160990902
"51097","SCCPDH",4019,"uc001ibr.3","chr1",246887378,246931440
"51361","HOOK1",1416,"uc009wad.3","chr1",60280463,60342050
"5317","PKP1",3360,"uc001gwd.3","chr1",201252580,201302121
"54460","MRPS21",2359,"uc001euk.3","chr1",150266269,150280819
"54546","RNF186",4569,"uc001bcr.3","chr1",20140522,20141771
"54751","FBLIM1",433,"uc001axd.1","chr1",16083154,16113084
"54810","GIPC2",1640,"uc001dik.3","chr1",78511589,78603112
"54935","DUSP23",2804,"uc001ftz.1","chr1",159750759,159752333
"55001","TTC22",5409,"uc009vzt.1","chr1",55246752,55266941
"55268","ECHDC2",5353,"uc001cun.3","chr1",53361582,53387375
"55283","MCOLN3",5605,"uc001dko.3","chr1",85483765,85489203
"5567","PRKACB",1664,"uc001dji.3","chr1",84543745,84670979
"5590","PRKCZ",122,"uc001aiq.3","chr1",1981909,2116834
"57111","RAB25",2681,"uc001fnc.3","chr1",156030966,156040295
"57822","GRHL3",613,"uc001bix.3","chr1",24645812,24681808
"58985","IL22RA1",4695,"uc010oeg.1","chr1",24446261,24463799
"6097","RORC",6395,"uc001ezg.3","chr1",151778547,151798553
"6273","S100A2",6448,"uc001fcb.3","chr1",153533585,153538306
"6274","S100A3",6447,"uc001fca.1","chr1",153519809,153521734
"6276","S100A5",6444,"uc001fbx.3","chr1",153509623,153514241
"6277","S100A6",6443,"uc001fbw.1","chr1",153507076,153508717
"63976","PRDM16",154,"uc001akc.3","chr1",2985742,3355185
"64129","TINAGL1",833,"uc010ogi.1","chr1",32042086,32046561
"64218","SEMA4A",2692,"uc001fnl.3","chr1",156119735,156147542
"65094","JMJD4",7746,"uc001hrb.3","chr1",227918890,227923112
"7107","GPR137B",3933,"uc001hxq.3","chr1",236305832,236372209
"7133","TNFRSF1B",354,"uc001att.3","chr1",12227060,12269277
"725","C4BPB",3548,"uc001hfi.3","chr1",207262212,207273337
"7292","TNFSF4",7125,"uc001giv.3","chr1",173152870,173174697
"7780","SLC30A2",4751,"uc001blg.1","chr1",26364514,26372604
"79140","CCDC28B",856,"uc021okt.1","chr1",32666202,32670398
"79574","EPS8L3",5852,"uc001dyq.2","chr1",110292702,110306644
"79814","AGMAT",4453,"uc001awv.2","chr1",15898194,15911605
"79906","MORN1",4250,"uc001ajb.1","chr1",2252696,2322993
"83715","ESPN",219,"uc001amy.3","chr1",6484848,6521004
"8416","ANXA9",2395,"uc001ewa.2","chr1",150954499,150968114
"84230","LRRC8C",1729,"uc001dnl.4","chr1",90098644,90185094
"8431","NR0B2",4771,"uc001bnf.3","chr1",27237975,27240567
"84958","SYTL1",736,"uc001bnv.2","chr1",27668483,27680423
"8764","TNFRSF14",140,"uc010nzc.1","chr1",2487805,2490438
"8863","PER3",241,"uc001aon.3","chr1",7844380,7864018
"8915","BCL10",5617,"uc021opd.1","chr1",85731460,85742587
"9122","SLC16A4",5861,"uc001dzo.2","chr1",110905473,110933704
"101","ADAM8",40850,"uc009ybi.3","chr10",135075920,135090407
"10529","NEBL",39436,"uc001iqi.3","chr10",21068903,21186531
"10556","RPP30",38616,"uc031pws.1","chr10",92631275,92661947
