probe,pvalue,Primary.solid.Tumor_Minus_Solid.Tissue.Normal,adjust.p
cg23625715,0.9731444422143845,0.001244960221871514,0.9938207904438396
cg26222311,0.07486376917615037,-0.0013316770241758903,0.08130046890690404
cg18432292,6.267769503684168e-4,-0.14299643196527206,7.738103402292784e-4
cg24517686,1.8111338136496174e-26,-0.22422513483266288,2.2360012947463697e-25
cg23926866,3.232187555012645e-11,-0.10658577804315333,9.360232743087767e-11
cg17094363,0.007612855880588279,-0.20127866602008532,0.008686802888065292
cg21862126,1.8767808446930727e-4,-0.21440868484848635,2.443833582066634e-4
cg24158844,1.819394144007998e-5,-0.21800051058022268,2.7232864033374043e-5
cg25772221,0.0015018506790779723,-0.17870214574490578,0.0018000283321503872
cg25340711,3.898829340736982e-5,-0.3193080953822465,5.509361254294427e-5
cg06767191,1.2185109621453363e-5,-0.1313140525843699,1.8822154278858345e-5
cg14166948,3.743735847540797e-7,-0.2251991525167833,7.10660608284623e-7
cg15414773,2.0026193269463473e-25,-0.22781145207502906,2.1492162972849034e-24
cg13360866,5.174605287134304e-5,-0.06052032217967704,7.164887380532037e-5
cg20996124,5.1355017284501e-4,-0.2248850660152981,6.383416985704061e-4
cg14830045,3.862322915269055e-4,-0.14068746738383375,4.859719714077999e-4
cg10784110,4.123585361505072e-8,-0.106073073616132,8.850885181165135e-8
cg12108798,1.7249287074038172e-21,-0.16070079275557697,1.1752418828037625e-20
cg20411340,2.075677681083216e-6,-0.07505536463841556,3.5801079331288245e-6
cg24852892,5.4186249429576675e-24,-0.4664679913954474,4.835533780617658e-23
cg18224942,1.4957503214827586e-5,-0.12976144820939933,2.2719907750922197e-5
cg06358191,2.617048065826191e-9,-0.3832813298277108,6.310121768115427e-9
cg20978193,5.715317333758964e-4,-0.08479313327915827,7.077338659149487e-4
cg08160862,0.0028242037084317832,-0.08071890139486304,0.0033223022774214895
cg18024631,6.672024740145123e-8,-0.1368595171553877,1.3938250156893503e-7
cg06646682,8.147635834256392e-18,-0.4730666328473097,4.041818138927189e-17
cg14992101,0.9653973552882646,0.01199907573391662,0.9870376446969681
cg20255272,0.005725687849129584,-0.04700574758762105,0.006551623308899496
cg15844005,2.1049918716271655e-30,-0.3818866287329394,4.0190658758276813e-29
cg06205922,2.3028658972781394e-22,-0.3646617268091259,1.7425372365579284e-21
cg12270813,4.554478474886721e-22,-0.4333805687458846,3.30905029016106e-21
cg16305094,9.477460863171358e-26,-0.38738536799549506,1.0586388256685285e-24
cg26908276,4.3929867582501913e-23,-0.4382524285213245,3.5709328005182244e-22
cg16277776,3.9435666575761324e-26,-0.3948792800407884,4.6585154329064815e-25
cg24044259,3.182436941506183e-6,-0.08619251530854977,5.332205569339952e-6
cg24163210,0.45723487461859086,-9.831019176837208e-4,0.4797314147755439
cg16652392,3.1554110162091244e-10,-0.08858593579155002,8.329879242146917e-10
cg21776599,3.8838763205337155e-12,-0.186291427266135,1.1942556026809665e-11
cg24706992,3.5548415533220675e-12,-0.36855267298685107,1.1034120662674546e-11
cg22962923,1.8777083677038173e-22,-0.33986830976118715,1.4340451812882177e-21
cg16926213,1.2772955282572602e-15,-0.31464014292029596,5.1154128229229785e-15
cg19630039,7.9735608938176e-27,-0.3708023800300207,9.994341211945419e-26
cg06082439,2.8457879501600785e-25,-0.39072068286937756,2.9762954230336617e-24
cg24315049,2.0184595256151645e-20,-0.37889356425226806,1.2459814064135715e-19
cg14839558,8.520638493809147e-11,-0.5304731647612648,2.3834562873653526e-10
cg05035280,1.3150876449928974e-8,-0.22036071110620542,2.937923691263044e-8
cg10331922,1.7987589978454957e-18,-0.3586826770677305,9.376388172896202e-18
cg13788313,4.050216025068711e-7,-0.30025339536437484,7.652997368426723e-7
cg23288755,1.1128640393735112e-4,-0.20243042511669124,1.485628254188053e-4
cg24105782,1.464052846557694e-4,-0.19281116413081845,1.9324556061476957e-4
cg00889627,7.242015124501615e-25,-0.4620107595648073,7.206902323897971e-24
cg04781796,1.2333564204761203e-49,-0.6967509349790233,1.0125856212108948e-46
cg14522944,1.1991173941485598e-11,-0.4092726776595565,3.547659029174658e-11
cg14087574,1.0876689916815658e-19,-0.232402862305084,6.158456842555625e-19
cg15356494,2.9662745295906975e-5,-0.13217354946357757,4.2390102502941044e-05
cg18120323,6.287319112757937e-11,-0.22710507819876952,1.7768981038121398e-10
cg05463656,0.9990034854898384,0.08113853087901446,1
cg03580279,6.700010003714165e-5,-0.05474734787661295,9.183152275541451e-5
cg08732456,0.0030728857430772447,-0.08242830425335523,0.0035950104844927814
cg12718519,0.0051047830815483895,-0.08269575165211646,0.005861576097833885
cg13480549,1.6363399543010634e-5,-0.06903301422517938,2.458252703533711e-5
cg18188739,0.16067557100587238,-0.02060514958850007,0.172776219771868
cg15481172,0.0012747965660868034,-0.048937752829855075,0.001536869281581888
cg15468976,6.672598653170901e-5,-0.26699567741207575,9.1532222126204e-5
cg23648809,6.636414098858848e-7,-0.2582296443966066,1.2285222040954035e-6
cg21775570,0.4299045676552235,-0.0031491053777650546,0.45163358930894243
cg16315417,0.0013367668583420117,-0.14491393214589726,0.0016092164086492545
cg12483545,0.9999999985582964,0.3846757283706501,1
cg16902087,1.1103326850061739e-6,-0.08236245601232994,1.9809522418913256e-6
cg00715290,1.7633078624466366e-12,-0.1143620830071923,5.5787119655826155e-12
cg23022809,0.011435155956129714,-0.04624097612546044,0.012904828920938138
cg12552820,3.378326198216689e-4,-0.12618383506008568,4.296833166128431e-4
cg13850019,0.06367519893632093,-0.01810866419797179,0.06933333995586138
cg06784691,0.04696010336819991,-0.023238428425681676,0.051405659820389506
cg03324138,3.373461532013935e-33,-0.352232640060191,9.080694812404723e-32
cg00093522,1.1433384781111902e-23,-0.3596944185525174,9.777925943013409e-23
cg21107210,0.011874309129570788,-0.028937373368501454,0.013382028545473736
cg22708961,4.4449997163922466e-14,-0.15386144725542594,1.6041075899595756e-13
cg02896354,1.4080157388433735e-31,-0.2598182059185069,2.9640536451036143e-30
cg16600733,1.3217721987377132e-7,-0.3901212919255821,2.6532395480774146e-7
cg11380092,5.910447991441108e-11,-0.16919638085617916,1.6819680419317675e-10
cg15009913,2.347529671869684e-16,-0.25952838667481026,1.0090690369659741e-15
cg01520454,6.661652320874988e-6,-0.33025643125537285,1.0640499135094098e-5
cg18435782,9.867016595208822e-14,-0.20097860831324754,3.46188915584036e-13
cg12656307,1.9476995113577228e-10,-0.21234788646928887,5.260070061923324e-10
cg22682172,4.3502759617007734e-5,-0.17621352115303146,6.1000453707196154e-5
cg25880537,7.451726986214517e-9,-0.21024364452330724,1.7209192280399772e-8
cg25730685,0.9999994432127122,0.010215073225411191,1
cg16691821,0.7463284771791157,0.010081382642095071,0.7746342348470973
cg13183298,0.0028215199763684013,-0.06775758127489823,0.0033223022774214895
cg15496335,5.482945965071968e-4,-0.10532613988510131,6.799846884175356e-4
cg12728061,2.970776398721603e-6,-0.05063791816724958,5.008228795380773e-6
cg25390413,6.538146918047813e-9,-0.14122337106573113,1.5206285041691937e-8
cg03722487,1.9932716906734044e-24,-0.3587647166574419,1.9252659506386647e-23
cg12644668,7.160399752383025e-19,-0.27726576679164006,3.829764297528641e-18
cg24314879,1.1464628968849792e-12,-0.1595964802968654,3.691160934676737e-12
cg19911801,0.40075078069612957,-0.004730486045043114,0.4218158858352851
cg15574442,5.516173020678892e-12,-0.25910623958655143,1.674224787422318e-11
cg27573975,2.2665889334520472e-12,-0.3625991289702107,7.1297682542687e-12
cg20816361,2.2645386350958856e-5,-0.15095499767705617,3.3259145248903794e-5
cg25842470,0.01080664657496847,-0.04940785478631171,0.012237595638688434
cg12582330,6.70687605617326e-9,-0.09780210334335035,1.5554647576605214e-8
cg04835685,4.0967913618375594e-20,-0.31105325505448367,2.419759502207652e-19
cg15325070,6.244761693190435e-4,-0.07717893016167138,7.715499398208198e-4
cg20848441,2.507802024300302e-5,-0.3122374167851083,3.6397498786906015e-5
cg23640231,8.98755340386593e-8,-0.28291720083245236,1.8446953361434824e-7
cg24412662,3.2945184539299345e-50,-0.6735350846264623,5.409599301352953e-47
cg27537199,5.786271350882655e-14,-0.09592200961603606,2.065447295249852e-13
cg00050294,4.440329090004865e-9,-0.5000919500512746,1.0475603973833316e-8
cg13300670,1.5672992763640245e-5,-0.30745968243377053,2.3697103239316097e-5
cg10636760,3.7162857374077023e-10,-0.5861894992434775,9.763425889317516e-10
cg06201717,4.398190904715674e-11,-0.49763823285566827,1.2647687330198137e-10
cg18509466,7.646728376256962e-5,-0.029739206554292713,1.0385382956008214e-4
cg22726349,0.16263070927756962,-0.0070314136086467305,0.17464985260547372
cg25008795,1.542833378312063e-27,-0.3745969564919499,2.0765019731052519e-26
cg12436196,2.4753222950983465e-5,-0.10770723064200821,3.6000701581501195e-5
cg08262220,4.608109628466778e-5,-0.1272999249166386,6.434112253352423e-5
cg22506548,7.328936559068965e-8,-0.1654217462665934,1.5252362268683448e-7
cg10572807,2.10898928833856e-16,-0.3763608260702416,9.089134938194004e-16
cg11837181,2.3435371783215286e-11,-0.33135792429586153,6.834969887751243e-11
cg24678113,7.45517795120765e-41,-0.4526389343288377,8.606711889880983e-39
cg22226775,1.283944372394835e-7,-0.3773708370821067,2.5836233571964697e-7
cg12599275,5.034515789480311e-41,-0.44855962687862294,6.358980712558976e-39
cg10520026,1.2896034282309554e-13,-0.47551260188959404,4.4579554298004816e-13
cg21604357,1.75469043790911e-37,-0.5508124579086129,9.294199029183092e-36
cg12905252,2.2316571515118046e-11,-0.5474673732364215,6.520250965804953e-11
cg27444751,3.975794817117637e-26,-0.4286302851172127,4.663039349790828e-25
cg26407161,9.516418875189451e-10,-0.33769792790113057,2.3966196001627422e-9
cg22615510,4.311477577455967e-16,-0.41799994075290214,1.8106000465940405e-15
cg10097755,2.7989599111580588e-33,-0.396317582811476,7.92395202434747e-32
cg05223638,1.3071405061786659e-17,-0.5112083650187316,6.294207364062667e-17
cg16348158,2.3330737055607547e-4,-0.09686047419659628,2.999927192271542e-4
cg07168837,4.677789397562472e-13,-0.45890114678434646,1.5548441681776476e-12
cg24741666,1.0322328808976672e-7,-0.17062748176142578,2.1002805333754267e-7
cg17033287,1.412734926346825e-9,-0.12982751153241553,3.5040947871019434e-9
cg17455155,7.943551990664264e-8,-0.5162454215744089,1.6468828748321616e-7
cg19866637,2.728390625880879e-23,-0.5391921980885248,2.262635054392123e-22
cg05343184,1.043360164049063e-21,-0.6374428751865577,7.228680967799838e-21
cg03226435,2.781406490777224e-7,-0.35676996957253765,5.398427255149176e-7
cg19243842,5.392898026584767e-11,-0.33405568562485166,1.5400240973308153e-10
cg22510139,5.8299719055119355e-9,-0.24983860971848681,1.3636486992664668e-8
cg14516243,7.89673993581057e-6,-0.31106351505654695,1.2503806147156178e-5
cg13388191,1.2277424427323053e-12,-0.1452744639312696,3.9374083807938385e-12
cg24045378,2.6202275770334885e-7,-0.312519261938494,5.097646542048564e-7
cg07622451,4.3054653349576756e-24,-0.45850116440662136,3.9275411555558353e-23
cg18145414,1.1356404864567067e-17,-0.3280001332552249,5.533298750035348e-17
cg05755889,3.135046314254233e-25,-0.4613966971181447,3.2375761308210385e-24
cg20699701,4.585934692148626e-16,-0.35975443146095343,1.9111941026670163e-15
cg13393782,3.052854810712211e-6,-0.383721727926701,5.130795905004555e-6
cg14966901,2.25504650796178e-4,-0.08794133419092015,2.9086162809680374e-4
cg07209071,0.011219586730061633,-0.041178732268524976,0.012671044814486429
cg18147147,2.7458533157128368e-5,-0.047876682527604075,3.95846456927171e-5
cg15391425,1.0058395535296527e-19,-0.5667638197024962,5.7346824544989235e-19
cg02892384,1.9700333952067077e-33,-0.40829040256073024,5.684932654332936e-32
cg14380230,2.2526751217793855e-7,-0.3069189321840168,4.3929840260828395e-7
cg26153353,2.352269707102821e-15,-0.42873797209273623,9.32953347599718e-15
cg16555926,8.274997889131661e-32,-0.44267566721949864,1.78783507025713e-30
cg12408250,5.705711136568954e-19,-0.29764289193904653,3.0717303889331876e-18
cg22729726,1.6248667614425156e-9,-0.3406684947668553,4.000046810027902e-9
cg26044566,5.577497093911004e-17,-0.47761082159915913,2.516002809945568e-16
cg19706803,2.748903543108562e-22,-0.5301135464356774,2.070504411827642e-21
cg26913155,9.030298498190672e-20,-0.44902256703369325,5.221038779587706e-19
cg02769687,6.605793285875806e-15,-0.39174558608637855,2.546176660893914e-14
cg22031783,2.2664647547238372e-36,-0.6316514873736829,1.00582030466393e-34
cg09119863,1.464054783693461e-14,-0.4208020338558408,5.4889482359731666e-14
cg16386396,4.923021156627353e-5,-0.40227770049133177,6.85050910100179e-5
cg22720392,2.391620640465477e-6,-0.2910249032424357,4.077924290388695e-6
cg17489690,3.134869692775656e-23,-0.46984326757932526,2.573728017768814e-22
cg15727188,5.367323689674245e-13,-0.4997954477408046,1.773268711960787e-12
cg23265656,1.827602253488791e-12,-0.4296878292265219,5.771005577362683e-12
cg20429350,5.079786145946197e-12,-0.5248525984805168,1.5446312688228993e-11
cg25150520,1.7345577230796905e-6,-0.4181572829884952,3.0235071988289297e-6
cg24499605,1.1775242339951657e-5,-0.33556206689801,1.8223325091612272e-5
cg23631759,8.664328184484267e-5,-0.4399335154882979,1.1699693157009183e-4
cg24851370,5.676246719372198e-8,-0.41553150004204387,1.1995363080063256e-7
cg11672390,0.037413026097943974,-0.0218197362338598,0.04120200459612609
cg24939838,0.6267311494815173,0.008482759858485234,0.6542228527963455
cg20165545,1.1622722448331556e-6,-0.2604318333083045,2.067660916593761e-6
cg19904265,2.4082347188633777e-6,-0.3125405045580434,4.097742392097063e-6
cg09891226,3.6396556809469146e-31,-0.6032896795754792,7.470393285143542e-30
cg00329272,6.864176368410393e-39,-0.43553317952882675,5.367132189014221e-37
cg12660813,7.080013178377532e-7,-0.2280337543699939,1.3047566373620548e-6
cg02067098,8.031154322901064e-19,-0.40918574823936676,4.2676878311338336e-18
cg23034362,1.0642250356225987e-7,-0.054468550928196774,2.1593123069889415e-7
cg17421241,1.7968795940442607e-9,-0.3678425937057841,4.397133075142587e-9
cg15823330,1.5244174490500282e-9,-0.50731527432332,3.764050302767138e-9
cg21160149,1.2100456555381593e-14,-0.22273894168810227,4.5992939036890224e-14
cg15605124,4.334315582152696e-6,-0.09598080769766543,7.129267831239647e-6
cg16394551,0.010536938659438791,-0.03557838545104004,0.011940409440164591
