"ENTREZID","SYMBOL","TXNAME","TXID","TXCHROM","TXSTART","TXEND"
"148789","B3GALNT2",7837,"uc001hxc.3","chr1",235610505,235667781
"375035","SFT2D2",3022,"uc001gfi.4","chr1",168195255,168212088
"4000","LMNA",2682,"uc001fnf.1","chr1",156052369,156108548
"7389","UROD",1211,"uc010oli.2","chr1",45477805,45479663
"79639","TMEM53",5180,"uc001cmc.3","chr1",45119501,45140099
"10105","PPIF",38436,"uc001kai.3","chr10",81107220,81115089
"22852","ANKRD26",39486,"uc001itg.2","chr10",27293045,27369107
"55526","DHTKD1",37671,"uc001ild.5","chr10",12110916,12165227
"58529","MYOZ1",40105,"uc001jur.4","chr10",75391370,75401515
"81603","TRIM8",38868,"uc001kvz.2","chr10",104404252,104418076
"8729","GBF1",38840,"uc001kuw.3","chr10",104005255,104120733
"4296","MAP3K11",44475,"uc001oev.3","chr11",65365226,65374494
"51272","BET1L",43196,"uc001lod.2","chr11",202924,207422
"5436","POLR2G",41935,"uc001nva.3","chr11",62529011,62534187
"5526","PPP2R5B",42060,"uc001oby.3","chr11",64692143,64701950
"6786","STIM1",41059,"uc001lyv.2","chr11",3876933,4114440
"91683","SYT12",42213,"uc009yrl.3","chr11",66790190,66818334
"10059","DNM1L",46033,"uc010skf.1","chr12",32832137,32884068
"10233","LRRC23",45667,"uc009zfg.2","chr12",7013897,7015826
"28955","DEXI",59035,"uc002dal.3","chr16",11022748,11036257
"4150","MAZ",57682,"uc010vdx.3","chr16",29817417,29822504
"54957","TXNL4B",59857,"uc010cgl.2","chr16",72072001,72127539
"64428","NARFL",58755,"uc002cjp.3","chr16",779769,787889
"6477","SIAH1",59519,"uc002efl.3","chr16",48390275,48482309
"794","CALB2",58375,"uc002faa.4","chr16",71392616,71424342
"9810","RNF40",57772,"uc002dzq.3","chr16",30772933,30787628
"2145","EZH1",63560,"uc002iaz.3","chr17",40852293,40897071
"51174","TUBD1",63983,"uc002ixw.2","chr17",57936841,57970306
"7756","ZNF207",60904,"uc002hhh.4","chr17",30677157,30697468
"79850","FAM57A",60105,"uc002frp.3","chr17",635847,646075
"5366","PMAIP1",65022,"uc002lic.2","chr18",57567192,57571538
"10849","CD3EAP",67315,"uc002pbq.1","chr19",45909467,45914024
"29888","STRN4",69720,"uc002pfl.3","chr19",47222768,47249720
"51291","GMIP",68976,"uc002nnd.3","chr19",19740285,19754455
"8541","PPFIA3",67486,"uc002pmr.3","chr19",49622663,49654280
"55654","TMEM127",11599,"uc002svq.3","chr2",96915946,96931751
"58190","CTDSP1",10180,"uc021vwv.1","chr2",219263061,219270664
"8324","FZD7",9978,"uc002uyw.1","chr2",202899310,202903160
"8837","CFLAR",9927,"uc002uwy.3","chr2",201980877,202004600
"10139","ARFRP1",72481,"uc002yga.3","chr20",62329995,62339010
"140825","NEURL2",72175,"uc002xqg.2","chr20",44517111,44519926
"114885","OSBPL11",16595,"uc003eic.3","chr3",125247702,125314381
"23473","CAPN7",13312,"uc003bzn.3","chr3",15247733,15294423
"29890","RBM15B",13863,"uc003dbd.3","chr3",51428699,51435336
"51143","DYNC1LI1",15552,"uc003cfb.4","chr3",32567463,32612366
"6578","SLCO2A1",16727,"uc003eqa.4","chr3",133651540,133748920
"114932","MRFAP1L1",19000,"uc003gjo.3","chr4",6709429,6711606
"1487","CTBP1",18909,"uc003gcu.1","chr4",1205228,1242908
"1452","CSNK1A1",23200,"uc011dcb.2","chr5",148875457,148899951
"2241","FER",21046,"uc011cve.1","chr5",108083523,108207203
"54888","NSUN2",22079,"uc003jdt.3","chr5",6599352,6621602
"8697","CDC23",22982,"uc003lcl.3","chr5",137523337,137549032
"891","CCNB1",20668,"uc003jvm.3","chr5",68462837,68474070
"57107","PDSS2",27222,"uc011eak.1","chr6",107473761,107780760
"8871","SYNJ2",25625,"uc011efm.2","chr6",158402888,158487667
"7532","YWHAG",30753,"uc011kgj.1","chr7",75956108,75988342
"90956","ADCK2",29570,"uc003vvy.1","chr7",140372953,140394908
"23212","RRS1",32426,"uc003xwa.3","chr8",67341263,67342968
"23513","SCRIB",34225,"uc003yzn.1","chr8",144873090,144886326
