"ENTREZID","SYMBOL","TXNAME","TXID","TXCHROM","TXSTART","TXEND"
"10103","TSPAN1",1244,"uc001cpd.3","chr1",46640749,46651634
"10158","PDZK1IP1",5278,"uc001cqw.3","chr1",47649261,47655771
"10472","ZBTB18",3989,"uc031psv.1","chr1",244212241,244220780
"10763","NES",6755,"uc001fpq.3","chr1",156638556,156647189
"11000","SLC27A3",2533,"uc001fcz.3","chr1",153747768,153752633
"1382","CRABP2",6756,"uc001fpr.3","chr1",156669400,156675459
"1520","CTSS",6312,"uc001evn.3","chr1",150702672,150738433
"22977","AKR7A3",4555,"uc001bbv.1","chr1",19609057,19615280
"255738","PCSK9",1395,"uc010ool.2","chr1",55505149,55518464
"260293","CYP4X1",1274,"uc001cqr.3","chr1",47427036,47516423
"26191","PTPN22",5933,"uc001eds.3","chr1",114356433,114414375
"26232","FBXO2",4407,"uc001asj.3","chr1",11708418,11714888
"27293","SMPDL3B",760,"uc001bpf.3","chr1",28261504,28282991
"2947","GSTM3",5849,"uc001dyo.2","chr1",110276554,110283660
"3158","HMGCS2",6031,"uc001eid.3","chr1",120290619,120311555
"4070","TACSTD2",5439,"uc001cyz.4","chr1",59041095,59043166
"50486","G0S2",3591,"uc001hhi.4","chr1",209848670,209849735
"5174","PDZK1",2248,"uc001eon.2","chr1",145727666,145764206
"5320","PLA2G2A",4571,"uc001bcu.3","chr1",20301924,20306152
"54460","MRPS21",2359,"uc001euk.3","chr1",150266269,150280819
"54546","RNF186",4569,"uc001bcr.3","chr1",20140522,20141771
"54810","GIPC2",1640,"uc001dik.3","chr1",78511589,78603112
"55001","TTC22",5409,"uc009vzt.1","chr1",55246752,55266941
"55283","MCOLN3",5605,"uc001dko.3","chr1",85483765,85489203
"5743","PTGS2",7295,"uc001gsb.3","chr1",186640944,186649559
"5865","RAB3B",5334,"uc001cth.3","chr1",52373628,52456436
"6097","RORC",6395,"uc001ezg.3","chr1",151778547,151798553
"6275","S100A4",6445,"uc001fby.3","chr1",153516095,153518282
"64218","SEMA4A",2692,"uc001fnl.3","chr1",156119735,156147542
"7133","TNFRSF1B",354,"uc001att.3","chr1",12227060,12269277
"7188","TRAF5",3627,"uc001hih.3","chr1",211499957,211548286
"79574","EPS8L3",5852,"uc001dyq.2","chr1",110292702,110306644
"83715","ESPN",219,"uc001amy.3","chr1",6484848,6521004
"83998","REG4",6035,"uc001eif.3","chr1",120336641,120354203
"84958","SYTL1",736,"uc001bnv.2","chr1",27668483,27680423
"8514","KCNAB2",206,"uc009vlv.2","chr1",6052358,6161253
"8764","TNFRSF14",140,"uc010nzc.1","chr1",2487805,2490438
"8863","PER3",241,"uc001aon.3","chr1",7844380,7864018
"8991","SELENBP1",6361,"uc001exx.4","chr1",151336778,151345210
"9122","SLC16A4",5861,"uc001dzo.2","chr1",110905473,110933704
"9411","ARHGAP29",5725,"uc009wdq.1","chr1",94615403,94740624
"118471","PRAP1",39211,"uc021qbf.1","chr10",135122894,135166187
"120","ADD3",38914,"uc001kyt.4","chr10",111756108,111895323
"1244","ABCC2",38777,"uc001kqf.2","chr10",101542463,101611662
"143379","C10orf82",40663,"uc001lcr.3","chr10",118423207,118429481
"1562","CYP2C18",38684,"uc001kjv.4","chr10",96443251,96495947
"170392","OIT3",38291,"uc001jte.1","chr10",74653339,74692787
"23401","FRAT2",40382,"uc001knd.1","chr10",99092254,99094458
"23555","TSPAN15",38229,"uc001jpo.1","chr10",71211226,71267423
"240","ALOX5",38005,"uc001jce.4","chr10",45869624,45941567
"387695","C10orf99",38505,"uc001kcu.3","chr10",85933554,85945050
"51703","ACSL5",38940,"uc001kzs.3","chr10",114133916,114188138
"5328","PLAU",38331,"uc001jwa.3","chr10",75670862,75677258
"55506","H2AFY2",38243,"uc001jqm.3","chr10",71812357,71872040
"56952","PRTFDC1",39463,"uc001ise.1","chr10",25137554,25241533
"80201","HKDC1",38218,"uc001jpf.4","chr10",70980059,71027315
"84930","MASTL",37836,"uc001itl.3","chr10",27443753,27475848
"10008","KCNE3",44716,"uc001ovc.3","chr11",74165886,74178600
"10083","USH1C",43684,"uc001mnd.3","chr11",17515442,17555057
"10410","IFITM3",43208,"uc001lpa.2","chr11",319673,320914
"116071","BATF2",44442,"uc001oce.1","chr11",64755417,64757745
"120224","TMEM45B",43137,"uc001qfe.1","chr11",129685741,129729898
"1374","CPT1A",44610,"uc001oof.4","chr11",68522088,68609399
"2001","ELF5",43846,"uc001mvo.1","chr11",34500342,34533346
"26298","EHF",41474,"uc001mvr.2","chr11",34642588,34684834
"26579","MYEOV",42303,"uc001oov.3","chr11",69061622,69064754
"3606","IL18",45085,"uc001pna.2","chr11",112013974,112021796
"3732","CD82",41551,"uc001myc.3","chr11",44587141,44641315
"3992","FADS1",44269,"uc001nsh.3","chr11",61567097,61581006
"430","ASCL2",43342,"uc001lvu.3","chr11",2289728,2292182
"486","FXYD2",45164,"uc001prj.2","chr11",117690790,117695459
"5003","SLC22A18AS",43355,"uc001lwv.4","chr11",2909327,2925175
"5140","PDE3B",41276,"uc001mlm.2","chr11",14665269,14798209
"53826","FXYD6",45169,"uc001pro.2","chr11",117707691,117747746
"5962","RDX",45037,"uc009yxx.1","chr11",110045605,110167437
"65975","STK33",43544,"uc001mgi.1","chr11",8413418,8497371
"6653","SORL1",43005,"uc001pxx.3","chr11",121322912,121504471
"7762","ZNF215",41157,"uc001mey.3","chr11",6947654,6979278
"83480","PUS3",45351,"uc001qcy.2","chr11",125763380,125773116
"84866","TMEM25",42904,"uc010ryd.1","chr11",118401803,118404337
"8519","IFITM1",40896,"uc001loy.4","chr11",313991,315272
"8525","DGKZ",41578,"uc001nch.2","chr11",46354455,46402104
"89797","NAV2",41343,"uc001mpp.3","chr11",19372271,20143147
"9066","SYT7",44262,"uc001nrv.3","chr11",61281188,61348344
"91703","ACY3",44590,"uc001omq.3","chr11",67410026,67418130
"10059","DNM1L",46033,"uc010skf.1","chr12",32832137,32884068
"11228","RASSF8",45947,"uc001rgw.2","chr12",26111964,26208379
"144715","RAD9B",47095,"uc001trf.4","chr12",110940005,110969891
"283375","SLC39A5",46487,"uc010sqi.2","chr12",56623820,56629596
"3226","HOXC10",46361,"uc001sen.3","chr12",54378946,54384062
"3227","HOXC11",46360,"uc001sem.3","chr12",54366910,54370203
"347902","AMIGO2",48046,"uc001rpk.3","chr12",47469490,47473734
"362","AQP5",46186,"uc001rvo.3","chr12",50355279,50359465
"3856","KRT8",48252,"uc001sbd.2","chr12",53290971,53298868
"4069","LYZ",46690,"uc001suw.2","chr12",69742134,69748013
"4640","MYO1A",48464,"uc010sqz.2","chr12",57422301,57441614
"4938","OAS1",47147,"uc010syn.2","chr12",113344739,113354760
"4939","OAS2",47156,"uc001tuh.3","chr12",113416274,113426610
"51561","IL23A",46493,"uc001sla.3","chr12",56732663,56734194
"55200","PLEKHG6",45614,"uc001qnr.3","chr12",6419602,6437672
"5787","PTPRB",48607,"uc001swb.4","chr12",70910632,71003624
"5959","RDH5",46420,"uc010spt.1","chr12",56114151,56116442
"6337","SCNN1A",47548,"uc001qnv.3","chr12",6456009,6473313
"6821","SUOX",46447,"uc009zoh.3","chr12",56391043,56396838
"6843","VAMP1",47556,"uc001qoj.3","chr12",6571404,6579843
"7699","ZNF140",47442,"uc001ulo.3","chr12",133657037,133684258
"79370","BCL2L14",45814,"uc001rac.3","chr12",12223878,12252627
"8078","USP5",45660,"uc001qrh.4","chr12",6961285,6975795
"8549","LGR5",46719,"uc001swn.2","chr12",71833550,71980086
"8638","OASL",49146,"uc001tzj.2","chr12",121458095,121477045
"894","CCND2",45586,"uc001qmo.3","chr12",4382902,4414522
"949","SCARB1",49266,"uc001ugm.4","chr12",125262174,125348519
"115761","ARL11",49636,"uc001vdf.2","chr13",50202435,50208008
"55270","NUDT15",49596,"uc001vbv.3","chr13",48611703,48615638
"94240","EPSTI1",50272,"uc001uyw.2","chr13",43460524,43566407
"11035","RIPK3",52572,"uc001wpa.3","chr14",24805227,24808271
"1152","CKB",53463,"uc001ynf.2","chr14",103985995,103989196
"123099","DEGS2",53416,"uc001ygx.2","chr14",100612753,100626012
"1396","CRIP1",52271,"uc001yri.4","chr14",105953257,105955124
"2581","GALC",53146,"uc010tvw.1","chr14",88304164,88446992
"2877","GPX2",52911,"uc001xhy.2","chr14",65405870,65409623
"3306","HSPA2",51489,"uc001xhk.4","chr14",65007186,65009954
"3429","IFI27",51904,"uc001ycm.1","chr14",94577079,94581226
"4323","MMP14",50986,"uc001whc.3","chr14",23305793,23316803
"51218","GLRX5",51925,"uc001yem.1","chr14",96001323,96011055
"5687","PSMA6",51203,"uc001wtd.3","chr14",35761574,35786682
"5700","PSMC1",51840,"uc001xyf.3","chr14",90722894,90738966
"6035","RNASE1",52359,"uc001vyf.3","chr14",21269515,21270558
"624","BDKRB2",51943,"uc010avl.2","chr14",96671135,96710503
"64919","BCL11B",53406,"uc001yga.3","chr14",99635625,99737822
"6751","SSTR1",51226,"uc001wul.1","chr14",38677204,38682268
"89874","SLC25A21",52667,"uc001wtz.2","chr14",37147126,37641865
"9056","SLC7A7",52429,"uc001wgr.4","chr14",23242432,23284618
"10302","SNAPC5",56165,"uc002apt.1","chr15",66782666,66784406
"161779","PGBD4",53871,"uc001zho.3","chr15",34394274,34396591
