"ENTREZID","SYMBOL","TXNAME","TXID","TXCHROM","TXSTART","TXEND"
"1043","CD52",694,"uc009vsg.1","chr1",26644411,26645690
"10637","LEFTY1",7718,"uc001hpo.3","chr1",226073982,226076846
"10753","CAPN9",3848,"uc001htz.1","chr1",230883130,230937749
"113802","HENMT1",5809,"uc001dvt.4","chr1",109190910,109203744
"2170","FABP3",4857,"uc001bss.1","chr1",31838100,31845923
"26052","DNM3",3086,"uc001gid.5","chr1",171810618,172102532
"26232","FBXO2",4407,"uc001asj.3","chr1",11708418,11714888
"2709","GJB5",915,"uc001bxu.4","chr1",35220648,35224113
"3140","MR1",3204,"uc001goq.2","chr1",181002561,181031074
"3158","HMGCS2",6031,"uc001eid.3","chr1",120290619,120311555
"5313","PKLR",6640,"uc001fka.4","chr1",155259084,155270792
"54460","MRPS21",2359,"uc001euk.3","chr1",150266269,150280819
"6097","RORC",6395,"uc001ezg.3","chr1",151778547,151798553
"6275","S100A4",6445,"uc001fby.3","chr1",153516095,153518282
"7802","DNALI1",968,"uc001cbj.3","chr1",38022520,38032458
"79626","TNFAIP8L2",2411,"uc001ewx.2","chr1",151129105,151132225
"8431","NR0B2",4771,"uc001bnf.3","chr1",27237975,27240567
"9447","AIM2",6827,"uc001ftj.1","chr1",159032275,159046647
"1244","ABCC2",38777,"uc001kqf.2","chr10",101542463,101611662
"1308","COL17A1",40578,"uc001kxr.3","chr10",105791046,105845638
"143379","C10orf82",40663,"uc001lcr.3","chr10",118423207,118429481
"4255","MGMT",39172,"uc001lkh.2","chr10",131265454,131565783
"51703","ACSL5",38940,"uc001kzs.3","chr10",114133916,114188138
"664","BNIP3",40834,"uc001lkv.1","chr10",133781204,133795435
"79746","ECHDC3",37668,"uc001ikw.4","chr10",11784356,11806065
"84457","PHYHIPL",38130,"uc001jkk.4","chr10",60936348,61007534
"84647","PLA2G12B",40054,"uc001jtf.1","chr10",74694938,74714510
"10346","TRIM22",41105,"uc001mbr.3","chr11",5710817,5732093
"2001","ELF5",43846,"uc001mvo.1","chr11",34500342,34533346
"220388","CCDC89",44828,"uc001pau.1","chr11",85394893,85397320
"2348","FOLR1",42377,"uc001orz.2","chr11",71900602,71907367
"23584","VSIG2",45304,"uc001qas.3","chr11",124617370,124622109
"23650","TRIM29",45253,"uc001pwx.3","chr11",119981994,119992701
"29984","RHOD",42215,"uc001ojv.3","chr11",66824289,66839488
"338707","B4GALNT4",40898,"uc001lpb.3","chr11",369795,382117
"374403","TBC1D10C",42240,"uc001okz.4","chr11",67171384,67177561
"3948","LDHC",41326,"uc001mom.4","chr11",18433853,18472793
"51296","SLC15A3",44240,"uc001nqn.2","chr11",60704555,60719257
"5790","PTPRCAP",44556,"uc001oli.1","chr11",67202981,67205153
"84866","TMEM25",42904,"uc010ryd.1","chr11",118401803,118404337
