"ENTREZID","SYMBOL","TXNAME","TXID","TXCHROM","TXSTART","TXEND"
"163351","GBP6",1723,"uc001dnf.2","chr1",89829436,89853719
"2327","FMO2",3067,"uc010pmd.1","chr1",171154388,171179856
"2701","GJA4",922,"uc009vul.3","chr1",35258171,35261348
"2882","GPX7",1326,"uc001cue.3","chr1",53068043,53074723
"3645","INSRR",6773,"uc010pht.2","chr1",156810665,156828712
"3737","KCNA2",5869,"uc009wfv.2","chr1",111136202,111174096
"3744","KCNA10",5868,"uc001dzt.1","chr1",111059839,111061797
"4184","SMCP",2484,"uc001fat.3","chr1",152850798,152857523
"5313","PKLR",6640,"uc001fka.4","chr1",155259084,155270792
"57459","GATAD2B",6461,"uc001fdb.4","chr1",153777203,153895451
"6000","RGS7",7867,"uc010pyh.2","chr1",240931554,241307868
"6894","TARBP1",7818,"uc001hwd.3","chr1",234527059,234614849
"79098","C1orf116",7545,"uc001hfd.2","chr1",207191866,207206101
"9783","RIMS3",5101,"uc001cfu.1","chr1",41086352,41131324
"51207","DUSP13",40137,"uc001jwr.3","chr10",76854190,76859248
"55176","SEC61A2",37672,"uc001ile.2","chr10",12171640,12207403
"55753","OGDHL",39798,"uc009xog.3","chr10",50942687,50966753
"5654","HTRA1",39100,"uc001lgj.2","chr10",124221041,124274424
"5979","RET",37973,"uc001jak.1","chr10",43572517,43622952
"6425","SFRP5",40407,"uc001kor.4","chr10",99526508,99531756
"8029","CUBN",39412,"uc001ioo.3","chr10",16865965,17171816
"22800","RRAS2",43636,"uc021qec.1","chr11",14299466,14380031
"283171","C11orf44",43157,"uc031qfg.1","chr11",130542851,130587247
"283298","OLFML1",41167,"uc001mfi.3","chr11",7506600,7532606
"29850","TRPM5",43347,"uc001lwm.4","chr11",2425746,2444275
"51083","GAL",42291,"uc001oob.3","chr11",68451983,68458643
"56981","PRDM11",41556,"uc031pzz.1","chr11",45115564,45246639
"6327","SCN2B",45188,"uc001psf.2","chr11",118033519,118047337
"9965","FGF19",44627,"uc001opf.3","chr11",69513006,69519106
"23416","KCNH3",46172,"uc001ruh.1","chr12",49932940,49952077
"23504","RIMBP2",49301,"uc001uil.2","chr12",130880681,131002462
"25834","MGAT4C",48710,"uc001tah.4","chr12",86373037,86650090
"26353","HSPB8",47193,"uc001txb.3","chr12",119616595,119632551
"3764","KCNJ8",47855,"uc001rff.4","chr12",21917889,21927755
"3853","KRT6A",48231,"uc001sam.3","chr12",52880958,52887181
"3856","KRT8",48252,"uc001sbd.2","chr12",53290971,53298868
"490","ATP2B1",48740,"uc009zsr.3","chr12",89981826,89993076
"4939","OAS2",47156,"uc001tuh.3","chr12",113416274,113426610
"51267","CLEC1A",47698,"uc001qxb.3","chr12",10223080,10251605
"51559","NT5DC3",48878,"uc010swe.1","chr12",104166081,104234975
"51561","IL23A",46493,"uc001sla.3","chr12",56732663,56734194
"7699","ZNF140",47442,"uc001ulo.3","chr12",133657037,133684258
"114798","SLITRK1",50517,"uc001vlk.3","chr13",84451343,84456528
"26278","SACS",50046,"uc001uoo.3","chr13",23902962,23949682
"114088","TRIM9",52761,"uc001wyx.4","chr14",51441981,51562422
"26499","PLEK2",52936,"uc001xjh.1","chr14",67853700,67878828
"51310","SLC22A17",52490,"uc001wjl.3","chr14",23815527,23821660
"5836","PYGL",52757,"uc001wyu.3","chr14",51371935,51411248
"9623","TCL1B",51934,"uc001yew.3","chr14",96129593,96158980
"145858","C15orf32",55029,"uc002brc.1","chr15",93014907,93044347
"2562","GABRB3",55378,"uc021sgg.1","chr15",26788694,26874237
"26585","GREM1",53860,"uc001zhd.2","chr15",33010205,33026870
"597","BCL2A1",56467,"uc002bfc.4","chr15",80253232,80263643
"7168","TPM1",54394,"uc002alg.3","chr15",63334838,63358292
"10164","CHST4",58380,"uc002fan.3","chr16",71560023,71572493
"2775","GNAO1",57974,"uc002eit.4","chr16",56225251,56382111
"794","CALB2",58375,"uc002faa.4","chr16",71392616,71424342
"85407","NKD1",57911,"uc002egg.2","chr16",50582241,50674771
"1277","COL1A1",63878,"uc002iqm.3","chr17",48261457,48279000
"284001","CCDC57",64542,"uc002kdx.1","chr17",80059346,80170689
"3872","KRT17",63486,"uc002hxh.2","chr17",39775692,39780882
"388394","RPRML",63771,"uc002ilb.3","chr17",45055522,45056614
"79877","DCAKD",63710,"uc002ihx.2","chr17",43100706,43112509
"84690","SPATA22",62391,"uc002fvm.3","chr17",3343306,3375041
"1000","CDH2",65378,"uc010xbn.1","chr18",25530930,25616539
"9331","B4GALT6",65390,"uc002kwy.4","chr18",29202209,29206361
"10520","ZNF211",68073,"uc010yhb.1","chr19",58131794,58154147
"117286","CIB3",68832,"uc002nds.3","chr19",16272179,16284286
"148113","CILP2",66633,"uc002nmv.4","chr19",19649074,19657468
"163071","ZNF114",67418,"uc002pil.1","chr19",48773356,48790863
"3903","LAIR1",70286,"uc002qfk.1","chr19",54865235,54876721
"5518","PPP2R1A",67679,"uc002pyp.3","chr19",52693055,52729678
"56344","CABP5",69765,"uc002phu.2","chr19",48532640,48547311
"57191","VN1R1",70406,"uc002qos.2","chr19",57966542,57968107
"64344","HIF3A",67349,"uc002pef.2","chr19",46800303,46815969
"718","C3",68455,"uc002mfm.3","chr19",6677846,6720662
"80110","ZNF614",70124,"uc002pyi.4","chr19",52516018,52531680
"8541","PPFIA3",67486,"uc002pmr.3","chr19",49622663,49654280
"9546","APBA3",68319,"uc002lyo.1","chr19",3750771,3754795
"1285","COL4A3",10298,"uc002vom.2","chr2",228029281,228179508
"129880","BBS5",9575,"uc002uet.3","chr2",170336006,170363165
"130271","PLEKHH2",8372,"uc002rte.3","chr2",43864439,43939522
"2019","EN1",11830,"uc002tlm.3","chr2",119599747,119605759
"2281","FKBP1B",8109,"uc002rer.3","chr2",24272584,24286550
"33","ACADL",12650,"uc002vdz.4","chr2",211052716,211090215
"338","APOB",10774,"uc002red.3","chr2",21224301,21266945
"3554","IL1R1",8981,"uc010fix.3","chr2",102686836,102796334
"3625","INHBB",9232,"uc002tmn.2","chr2",121103719,121109383
"4632","MYL1",12652,"uc002veb.3","chr2",211154868,211168339
"51052","PRLH",10494,"uc010znl.2","chr2",238475217,238475818
"6694","SPP2",10469,"uc010fyl.1","chr2",234959346,234978667
"7035","TFPI",12430,"uc002upy.3","chr2",188328958,188419219
"23767","FLRT3",71724,"uc002wov.2","chr20",14304639,14318313
"57419","SLC24A3",70730,"uc002wrl.3","chr20",19193290,19703541
"650","BMP2",70637,"uc002wmu.1","chr20",6748745,6760910
"1409","CRYAA",72865,"uc002zdd.1","chr21",44589141,44592913
"2078","ERG",73264,"uc021wjd.1","chr21",39739183,40033704
"29947","DNMT3L",73381,"uc002zeg.2","chr21",45666222,45682099
"30811","HUNK",72622,"uc002yph.3","chr21",33245628,33376377
"1312","COMT",73545,"uc002zqu.3","chr22",19929263,19957498
"2192","FBLN1",74296,"uc003bgg.1","chr22",45898719,45954591
"4744","NEFH",73852,"uc003afo.3","chr22",29876181,29887277
"6663","SOX10",75020,"uc003aun.1","chr22",38368319,38380539
"11186","RASSF1",15958,"uc003daa.1","chr3",50367217,50369597
"51146","A4GNT",16757,"uc003ers.2","chr3",137842560,137851229
"51560","RAB6B",16724,"uc003epy.3","chr3",133543080,133614691
"56667","MUC13",16577,"uc003ehq.2","chr3",124624289,124653595
"6331","SCN5A",15589,"uc021wvi.1","chr3",38589553,38663980
"84818","IL17RC",13185,"uc010hcr.3","chr3",9958758,9965975
"885","CCK",15635,"uc021wwk.1","chr3",42299318,42305439
"942","CD86",14393,"uc003eet.3","chr3",121774209,121839988
"132671","SPATA18",17866,"uc003gzk.1","chr4",52917593,52948764
"1363","CPE",18714,"uc003irg.4","chr4",166300097,166419482
"23321","TRIM2",18600,"uc003ing.2","chr4",154074270,154260474
"26234","FBXL5",19064,"uc010idw.2","chr4",15606007,15646280
"3815","KIT",17894,"uc010igr.3","chr4",55524095,55606881
"7345","UCHL1",17804,"uc003gvo.3","chr4",41258898,41270446
"1036","CDO1",22782,"uc003krg.3","chr5",115140430,115152405
"115827","RAB3C",20585,"uc003jrp.3","chr5",57878939,58147406
"2196","FAT2",23277,"uc003lud.4","chr5",150883653,150911531
"23440","OTP",22547,"uc003kfg.3","chr5",76924537,76934522
"285598","ARL10",21858,"uc003meb.3","chr5",175792502,175796963
"285601","GPR150",20978,"uc003kle.1","chr5",94955980,94957284
"4488","MSX2",21832,"uc003mcy.3","chr5",174151575,174157902
"8546","AP3B1",22551,"uc003kfj.4","chr5",77298150,77590579
"8622","PDE8B",20871,"uc003kfa.3","chr5",76506706,76724080
"135228","CD109",24997,"uc003php.3","chr6",74405508,74538041
"221458","KIF6",26684,"uc003oos.2","chr6",39302876,39399150
"27115","PDE7B",25410,"uc003qgp.3","chr6",136172834,136516709
"2830","GPR6",25175,"uc003ptu.3","chr6",110300298,110301924
"378884","NHLRC1",25932,"uc003ncl.1","chr6",18120718,18122851
"4188","MDFI",24663,"uc003oqq.4","chr6",41606195,41621982
"51299","NRN1",25809,"uc021ykx.1","chr6",5998233,6004302
"54209","TREM2",26707,"uc003opy.3","chr6",41126244,41130924
"5454","POU3F2",25117,"uc003ppe.3","chr6",99282580,99286666
"57120","GOPC",27333,"uc003pxq.1","chr6",117639351,117894795
"57699","CPNE5",26646,"uc003omp.1","chr6",36708555,36725177
"6862","T",27789,"uc003qut.2","chr6",166571146,166581365
"80350","LPAL2",27744,"uc003qtj.2","chr6",160887587,160932156
"81688","C6orf62",25963,"uc003nel.3","chr6",24705090,24719403
"8294","HIST1H4I",23975,"uc003niy.1","chr6",27107088,27107457
"8361","HIST1H4F",23905,"uc003nhe.1","chr6",26240654,26241021
"8368","HIST1H4L",26084,"uc003njz.3","chr6",27840926,27841289
"83741","TFAP2D",24860,"uc003paf.3","chr6",50681257,50740746
"10049","DNAJB6",29902,"uc003wnj.3","chr7",157129710,157179018
"1749","DLX5",30919,"uc003uon.3","chr7",96649702,96654143
"2020","EN2",29882,"uc003wmb.3","chr7",155250824,155257526
"2318","FLNC",29402,"uc003vnz.4","chr7",128470483,128499328
"26211","OR2F1",29707,"uc003wds.1","chr7",143657020,143658108
"50617","ATP6V0A4",31461,"uc003vuf.3","chr7",138391039,138458782
"5118","PCOLCE",29033,"uc011kkb.1","chr7",100199882,100202528
"5446","PON3",30897,"uc003unt.3","chr7",94989184,95025687
"64598","MOSPD3",29035,"uc003uvq.3","chr7",100209725,100213000
"64761","PARP12",31479,"uc003vvl.1","chr7",139723549,139763521
"781","CACNA2D1",30789,"uc011kgy.1","chr7",81579418,81600405
"1015","CDH17",33767,"uc003ygh.2","chr8",95139394,95220815
"23516","SLC39A14",32003,"uc003xbp.4","chr8",22224762,22280249
"4061","LY6E",32876,"uc003yxm.2","chr8",144099902,144103827
"6440","SFTPC",31980,"uc003xaw.4","chr8",22016234,22021991
"9420","CYP7B1",33537,"uc003xvj.2","chr8",65508529,65711348
"94241","TP53INP1",33783,"uc003yhg.3","chr8",95938200,95961615
"25769","SLC24A2",36001,"uc003zoa.2","chr9",19507450,19787017
"26248","OR2K2",36913,"uc011lwp.2","chr9",114089763,114090713
"3934","LCN2",35435,"uc010mxq.2","chr9",130911732,130913646
"5535","PPP3R2",36840,"uc004bbr.3","chr9",104353897,104357283
"7088","TLE1",36528,"uc004aly.3","chr9",84198598,84303596
"7410","VAV2",37381,"uc004cer.3","chr9",136627016,136857446
"9350","CER1",35941,"uc003zlj.3","chr9",14719732,14722715
"10009","ZBTB33",76492,"uc004esn.1","chrX",119384607,119392251
"10159","ATP6AP2",75679,"uc004det.3","chrX",40440216,40465888
