"ENTREZID","SYMBOL","TXNAME","TXID","TXCHROM","TXSTART","TXEND"
"10022","INSL5",5483,"uc001dcw.3","chr1",67263424,67266942
"10158","PDZK1IP1",5278,"uc001cqw.3","chr1",47649261,47655771
"10637","LEFTY1",7718,"uc001hpo.3","chr1",226073982,226076846
"10747","MASP2",4397,"uc001aru.3","chr1",11086580,11107296
"10763","NES",6755,"uc001fpq.3","chr1",156638556,156647189
"113802","HENMT1",5809,"uc001dvt.4","chr1",109190910,109203744
"127833","SYT2",7409,"uc001gye.3","chr1",202559725,202612581
"140576","S100A16",6449,"uc001fcc.3","chr1",153579367,153581481
"149111","CNIH3",3750,"uc001hos.1","chr1",224804179,224928249
"1510","CTSE",3509,"uc001hdu.3","chr1",206317459,206332104
"183","AGT",7783,"uc001hty.4","chr1",230838272,230850336
"2046","EPHA8",582,"uc001bfw.3","chr1",22890004,22916112
"2153","F5",7087,"uc001ggg.1","chr1",169481192,169555769
"2170","FABP3",4857,"uc001bss.1","chr1",31838100,31845923
"2301","FOXE3",1286,"uc001crk.3","chr1",47881744,47883724
"23057","NMNAT2",7252,"uc009wye.2","chr1",183217372,183248417
"23266","ADGRL2",1652,"uc001dis.3","chr1",81771845,82458107
"23418","CRB1",3317,"uc010poz.2","chr1",197170592,197447585
"25893","TRIM58",4040,"uc001ido.3","chr1",248020501,248043438
"26052","DNM3",3086,"uc001gid.5","chr1",171810618,172102532
"26508","HEYL",5065,"uc010oiw.2","chr1",40089103,40098672
"2709","GJB5",915,"uc001bxu.4","chr1",35220648,35224113
"2786","GNG4",7839,"uc001hxe.4","chr1",235710985,235813293
"2882","GPX7",1326,"uc001cue.3","chr1",53068043,53074723
"2944","GSTM1",1971,"uc001dyk.3","chr1",110230418,110236367
"2947","GSTM3",5849,"uc001dyo.2","chr1",110276554,110283660
"3283","HSD3B1",2131,"uc001ehv.1","chr1",120049826,120057681
"339479","BRINP3",7297,"uc010pot.1","chr1",190066797,190444942
"3633","INPP5B",5035,"uc001ccf.1","chr1",38326369,38397421
"3707","ITPKB",7735,"uc010pvo.2","chr1",226819391,226926876
"3737","KCNA2",5869,"uc009wfv.2","chr1",111136202,111174096
"3766","KCNJ10",6855,"uc001fuw.2","chr1",160007257,160040051
"3814","KISS1",7455,"uc001har.3","chr1",204159469,204165619
"51042","ZNF593",679,"uc001bll.4","chr1",26496388,26497364
"5174","PDZK1",2248,"uc001eon.2","chr1",145727666,145764206
"5313","PKLR",6640,"uc001fka.4","chr1",155259084,155270792
"54460","MRPS21",2359,"uc001euk.3","chr1",150266269,150280819
"5453","POU3F1",5045,"uc001ccp.1","chr1",38509523,38512450
"5549","PRELP",3421,"uc001gzs.3","chr1",203444883,203460479
"5563","PRKAA2",1401,"uc001cyk.4","chr1",57110990,57181008
"5567","PRKACB",1664,"uc001dji.3","chr1",84543745,84670979
"5743","PTGS2",7295,"uc001gsb.3","chr1",186640944,186649559
"57576","KIF17",4585,"uc001bdp.4","chr1",20990507,21011681
"63976","PRDM16",154,"uc001akc.3","chr1",2985742,3355185
"6703","SPRR2D",6422,"uc001fbb.2","chr1",153012201,153013594
"7042","TGFB2",3695,"uc001hll.3","chr1",218518676,218585206
"7292","TNFSF4",7125,"uc001giv.3","chr1",173152870,173174697
"7780","SLC30A2",4751,"uc001blg.1","chr1",26364514,26372604
"79727","LIN28A",696,"uc001bmi.1","chr1",26737269,26756210
"79739","TTLL7",5579,"uc001djb.3","chr1",84335057,84418070
"84217","ZMYND12",5135,"uc001chj.3","chr1",42896001,42921938
"8444","DYRK3",3528,"uc001hei.3","chr1",206808881,206822542
"845","CASQ2",5987,"uc001efx.4","chr1",116242626,116311426
"8476","CDC42BPA",7737,"uc001hqp.3","chr1",227177566,227268718
"8832","CD84",6882,"uc001fwf.4","chr1",160510884,160549306
"9077","DIRAS3",5499,"uc001ded.3","chr1",68511645,68516481
"9447","AIM2",6827,"uc001ftj.1","chr1",159032275,159046647
"963","CD53",2004,"uc001dzw.3","chr1",111413821,111442558
"9903","KLHL21",4338,"uc001anz.1","chr1",6650779,6662929
"1244","ABCC2",38777,"uc001kqf.2","chr10",101542463,101611662
"1369","CPN1",40443,"uc001kql.2","chr10",101802065,101841642
"143379","C10orf82",40663,"uc001lcr.3","chr10",118423207,118429481
"150","ADRA2A",38938,"uc001kzo.3","chr10",112836790,112840662
"1959","EGR2",39916,"uc001jmi.3","chr10",64571756,64576126
"196743","PAOX",39215,"uc001lmv.3","chr10",135192741,135205198
"22943","DKK1",38118,"uc001jjr.3","chr10",54074041,54077417
"253738","EBF3",40824,"uc001lki.2","chr10",131633496,131762091
"254427","PROSER2",37670,"uc001ikx.3","chr10",11865397,11914276
"256297","PTF1A",37800,"uc001irp.3","chr10",23481460,23483181
"25805","BAMBI",37854,"uc001iuj.1","chr10",28966424,28971868
"26103","LRIT1",40206,"uc001kcz.1","chr10",85991276,86001217
"2625","GATA3",37648,"uc001ijz.3","chr10",8096667,8117164
"2662","GDF10",39730,"uc001jfb.3","chr10",48425788,48439138
"3087","HHEX",38642,"uc001kid.3","chr10",94449681,94455408
"3799","KIF5B",39562,"uc001iwe.4","chr10",32297938,32345371
"4255","MGMT",39172,"uc001lkh.2","chr10",131265454,131565783
"5507","PPP1R3C",40279,"uc001kho.3","chr10",93388197,93392858
"55130","ARMC4",39505,"uc010qds.2","chr10",28101097,28270846
"55176","SEC61A2",37672,"uc001ile.2","chr10",12171640,12207403
"55506","H2AFY2",38243,"uc001jqm.3","chr10",71812357,71872040
"55753","OGDHL",39798,"uc009xog.3","chr10",50942687,50966753
"5592","PRKG1",38112,"uc010qhp.2","chr10",52750911,53227711
"5979","RET",37973,"uc001jak.1","chr10",43572517,43622952
"664","BNIP3",40834,"uc001lkv.1","chr10",133781204,133795435
"7431","VIM",37721,"uc001iou.2","chr10",17270258,17279592
"783","CACNB2",37741,"uc001ipr.2","chr10",18429606,18830688
"79746","ECHDC3",37668,"uc001ikw.4","chr10",11784356,11806065
"83643","CCDC3",39344,"uc001ilq.1","chr10",12938625,13043704
"9469","CHST3",38275,"uc001jsn.3","chr10",73724120,73773322
"9806","SPOCK2",40022,"uc001jso.2","chr10",73818792,73848531
"11095","ADAMTS8",45415,"uc001qgf.3","chr11",130274818,130282008
"1474","CST6",42151,"uc001ogr.3","chr11",65779462,65780976
"2001","ELF5",43846,"uc001mvo.1","chr11",34500342,34533346
"220001","VWCE",44244,"uc001nra.3","chr11",61025758,61062788
"220388","CCDC89",44828,"uc001pau.1","chr11",85394893,85397320
"2313","FLI1",43126,"uc010sbt.2","chr11",128556430,128683162
"23584","VSIG2",45304,"uc001qas.3","chr11",124617370,124622109
"23705","CADM1",45120,"uc001ppf.4","chr11",115039951,115375241
"253935","ANGPTL5",44940,"uc001pgl.3","chr11",101761405,101787253
"25841","ABTB2",43845,"uc001mvl.2","chr11",34172534,34379555
"2694","GIF",44224,"uc001noi.3","chr11",59596746,59612974
"338707","B4GALNT4",40898,"uc001lpb.3","chr11",369795,382117
"3481","IGF2",43323,"uc001lvg.3","chr11",2150342,2160204
"3992","FADS1",44269,"uc001nsh.3","chr11",61567097,61581006
"5080","PAX6",43800,"uc031pzk.1","chr11",31806340,31825594
"55231","CCDC87",44536,"uc001oiq.4","chr11",66357640,66360554
"57758","SCUBE2",43570,"uc021qdk.1","chr11",9041047,9072257
"5871","MAP4K2",44416,"uc001obh.3","chr11",64556609,64570713
"6484","ST3GAL4",43113,"uc001qds.3","chr11",126225540,126284536
"6506","SLC1A2",43853,"uc001mwd.3","chr11",35272752,35441105
"65975","STK33",43544,"uc001mgi.1","chr11",8413418,8497371
"710","SERPING1",41708,"uc001nkp.1","chr11",57365027,57382326
"7490","WT1",43811,"uc001mtl.2","chr11",32409322,32452363
"797","CALCB",41279,"uc001mlx.1","chr11",15095146,15100177
"83700","JAM3",43168,"uc001qhb.3","chr11",133938820,134021652
"8642","DCHS1",43505,"uc001mem.1","chr11",6642558,6677074
"9024","BRSK2",40963,"uc009ycv.1","chr11",1411129,1478279
"9066","SYT7",44262,"uc001nrv.3","chr11",61281188,61348344
"9099","USP2",45246,"uc001pwl.4","chr11",119225925,119234892
"921","CD5",41868,"uc009ynk.3","chr11",60869930,60895323
"9415","FADS2",41894,"uc001nsj.2","chr11",61583728,61634825
"9965","FGF19",44627,"uc001opf.3","chr11",69513006,69519106
"10677","AVIL",48528,"uc001sqj.2","chr12",58191160,58209852
"11197","WIF1",48565,"uc001ssk.3","chr12",65444404,65515346
"11211","FZD10",47378,"uc001uii.3","chr12",130647004,130650285
"11213","IRAK3",46642,"uc001stg.2","chr12",66582978,66591997
"11228","RASSF8",45947,"uc001rgw.2","chr12",26111964,26208379
"115557","ARHGEF25",46551,"uc009zpy.4","chr12",58003963,58011028
"144165","PRICKLE1",47998,"uc010skv.2","chr12",42852140,42877416
"144402","CPNE8",47975,"uc001rlr.1","chr12",39046002,39115024
"144568","A2ML1",45738,"uc001quz.5","chr12",8975150,9029381
"144715","RAD9B",47095,"uc001trf.4","chr12",110940005,110969891
"160364","CLEC12A",45785,"uc001qwq.3","chr12",10103915,10138194
"160728","SLC5A8",48851,"uc001thz.4","chr12",101549994,101604016
"246213","SLC17A8",46904,"uc009ztx.3","chr12",100750857,100815837
"253827","MSRB3",46627,"uc001ssm.3","chr12",65672423,65860687
"2583","B4GALNT1",48510,"uc010sru.3","chr12",58019678,58026464
"27198","HCAR1",49217,"uc001ucz.3","chr12",123212153,123215129
"27345","KCNMB4",46716,"uc001svx.3","chr12",70760062,70828072
"3225","HOXC9",46363,"uc001seq.3","chr12",54393877,54397120
"3458","IFNG",48583,"uc001stw.1","chr12",68548550,68553521
"3854","KRT6B",48229,"uc001sak.3","chr12",52840435,52845910
"397","ARHGDIB",47815,"uc001rcq.1","chr12",15094950,15114562
"4069","LYZ",46690,"uc001suw.2","chr12",69742134,69748013
"429","ASCL1",46957,"uc001tjr.4","chr12",103351452,103354294
"4618","MYF6",46764,"uc001szf.2","chr12",81101408,81103256
"4753","NELL2",48013,"uc001rof.3","chr12",44902058,45269444
"51267","CLEC1A",47698,"uc001qxb.3","chr12",10223080,10251605
"51303","FKBP11",48111,"uc010sma.2","chr12",49315742,49318664
"5139","PDE3A",45905,"uc001reh.2","chr12",20522179,20837041
"53831","GPR84",48327,"uc001sfu.3","chr12",54756229,54758270
"5502","PPP1R1A",48339,"uc001sgg.2","chr12",54973024,54982443
"55801","IL26",48584,"uc001stx.1","chr12",68595129,68619571
